analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,986.958
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,683.125
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,501.624
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,501.624
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,501.624
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,501.624
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,471.041
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,471.041
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,440.458
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,334.416
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,334.416
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,334.416
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,334.416
5304051,BUCK POND,5300584,SHOSHONE POWER PLANT,334.416
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,334.416
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,334.416
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,334.416
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,334.416
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,334.416
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,334.416
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5104021,MEADOW SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,334.416
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,334.416
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,334.416
5103752,KINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5100763,KINNEY BARRIGER DITCH,5300584,SHOSHONE POWER PLANT,334.416
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,334.416
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,334.416
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,334.416
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,334.416
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,334.416
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,303.83299999999997
5003624,MARTIN LILY POND RESERVOIR,5300584,SHOSHONE POWER PLANT,303.83299999999997
3700848,WARREN DITCH,5300584,SHOSHONE POWER PLANT,303.83299999999997
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,303.83299999999997
5103709,WILLIAMS FORK RESERVOIR,5300584,SHOSHONE POWER PLANT,303.83299999999997
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,303.83299999999997
5003606,ANTELOPE RESERVOIR,5300584,SHOSHONE POWER PLANT,303.83299999999997
