analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,1057.002
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,490.5
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,490.5
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,490.5
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,490.5
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,490.5
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,473.66700000000003
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,431.834
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,425.001
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,355.0
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,327.0
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,327.0
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,327.0
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,327.0
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,327.0
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,327.0
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,327.0
5104021,MEADOW SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,327.0
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,327.0
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,327.0
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,327.0
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,327.0
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
3703689,CORNWELL POND NO 1,5300584,SHOSHONE POWER PLANT,327.0
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,327.0
3703659,WATERFORD RANCH PD P8-2,5300584,SHOSHONE POWER PLANT,327.0
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,327.0
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,327.0
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,327.0
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,327.0
