analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,135.83100000000002,5.26,1002.58,37,147.54,1408.0,53,136181.44398
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,91.665,18.46,519.3342,36,147.54,1408.0,53,47604.769443000005
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,77.499,13.16,78849.0,50,147.54,1408.0,53,6110718.651
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,77.499,257.52,600.0,51,147.54,1408.0,53,46499.399999999994
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,77.499,2.94,17.0,50,147.54,1408.0,53,1317.483
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,77.499,1.51,13.0,53,147.54,1408.0,53,1007.487
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,69.999,3.21,96.4,50,147.54,1408.0,53,6747.9036
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,69.999,5.95,554.06,53,147.54,1408.0,53,38783.645939999995
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,62.499,3.57,75.8,36,147.54,1408.0,53,4737.4242
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,5.0,38.2,50,147.54,1408.0,53,1973.6412
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,5.66,93.24,50,147.54,1408.0,53,4817.337839999999
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,51.666,0.34,7.2,37,147.54,1408.0,53,371.9952
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,3.29,204.77,50,147.54,1408.0,53,10579.64682
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,51.666,0.01,36.0,37,147.54,1408.0,53,1859.9759999999999
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,51.666,7.25,28.0,53,147.54,1408.0,53,1446.648
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,18.41,8710.0,36,147.54,1408.0,53,450010.86
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,0.0,216.15,50,147.54,1408.0,53,11167.6059
5304051,BUCK POND,5300584,SHOSHONE POWER PLANT,51.666,3.61,21.4,53,147.54,1408.0,53,1105.6524
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,51.666,1.41,56.0,36,147.54,1408.0,53,2893.296
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,51.666,0.24,4.24,51,147.54,1408.0,53,219.06384
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,51.666,22.0,6.0,53,147.54,1408.0,53,309.996
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,51.666,222.2,14.1,53,147.54,1408.0,53,728.4906
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,43.8,233.38,50,147.54,1408.0,53,12057.81108
5104021,MEADOW SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,3.19,2.21,51,147.54,1408.0,53,114.18185999999999
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,51.666,29.9,1.884,51,147.54,1408.0,53,97.33874399999999
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,51.666,5.5,2.28,51,147.54,1408.0,53,117.79847999999998
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,51.666,5.59,4.74,51,147.54,1408.0,53,244.89684
5103752,KINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,3.42,1127.35,51,147.54,1408.0,53,58245.66509999999
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,15.28,5.5,51,147.54,1408.0,53,284.163
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,3.73,84.89,53,147.54,1408.0,53,4385.92674
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,51.666,10.86,4094.0,50,147.54,1408.0,53,211520.604
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,51.666,0.31,8.0,51,147.54,1408.0,53,413.328
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,51.666,60.22,19.0,37,147.54,1408.0,53,981.654
5100763,KINNEY BARRIGER DITCH,5300584,SHOSHONE POWER PLANT,51.666,236.23,65.0,51,147.54,1408.0,53,3358.29
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,51.666,37.52,271.8686,37,147.54,1408.0,53,14046.3630876
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,51.666,7.56,396.36,37,147.54,1408.0,53,20478.335759999998
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,4.5,1033.94,50,147.54,1408.0,53,53419.54404
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,51.666,16.44,1670.0,50,147.54,1408.0,53,86282.22
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,51.666,1.42,10.114,37,147.54,1408.0,53,522.549924
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,51.666,2.67,185.05,50,147.54,1408.0,53,9560.7933
5003606,ANTELOPE RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,3.34,346.5,50,147.54,1408.0,53,15303.518999999998
3700848,WARREN DITCH,5300584,SHOSHONE POWER PLANT,44.166,21.44,35.466,37,147.54,1408.0,53,1566.3913559999999
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,44.166,0.41,60.0,36,147.54,1408.0,53,2649.96
5103709,WILLIAMS FORK RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,2.22,187274.0,51,147.54,1408.0,53,8271143.483999999
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,3.97,916.64,50,147.54,1408.0,53,40484.322239999994
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,1.86,69.1942,52,147.54,1408.0,53,3056.0310371999994
3703516,G G LOWER RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,7.6,36.52,37,147.54,1408.0,53,1612.94232
3600671,INDEPENDENT BLUE DITCH,5300584,SHOSHONE POWER PLANT,44.166,33.99,40.95,36,147.54,1408.0,53,1808.5977
3703517,G G RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,9.27,192.78,37,147.54,1408.0,53,8514.321479999999
3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,15.77,209199.0,36,147.54,1408.0,53,9239483.034
5203946,OXFORD RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,200.7,76.1,52,147.54,1408.0,53,3361.0325999999995
5003624,MARTIN LILY POND RESERVOIR,5300584,SHOSHONE POWER PLANT,44.166,52.41,803.0,50,147.54,1408.0,53,35465.297999999995
5000768,MARTIN LILY POND FEEDER DITCH,5300584,SHOSHONE POWER PLANT,44.166,54.19,33.45,50,147.54,1408.0,53,1477.3527
3603548,HOAGLAND NO 1 RESERVOIR,5300584,SHOSHONE POWER PLANT,36.666,2.97,921.5,36,147.54,1408.0,53,33787.719
3600649,HAMILTON DAVIDSON DITCH,5300584,SHOSHONE POWER PLANT,36.666,1.56,50.39,36,147.54,1408.0,53,1847.5997399999999
4500969,BLUESTONE VALLEY DITCH,7200646,GRAND VALLEY PROJECT,30.0,82.62,106.0,45,61.8,2313.7,72,3180.0
3803815,CORYELL POND NO 2A,7200646,GRAND VALLEY PROJECT,30.0,12.14,27.34,38,61.8,2313.7,72,820.2
3804019,FRANK POND 1,7200646,GRAND VALLEY PROJECT,30.0,2.76,2.3,38,61.8,2313.7,72,69.0
5303969,HADLEY NO 2 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,8.21,13.14,53,147.54,1408.0,53,339.44562
5204013,TRIANGLE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,10.92,0.1,52,147.54,1408.0,53,2.5833
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,25.833,1.83,1.41,53,147.54,1408.0,53,36.42453
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,10.8,1.41,53,147.54,1408.0,53,36.42453
5204003,PEYTON RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.24,0.1,52,147.54,1408.0,53,2.5833
5303971,HEART LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,17.8,3255.33,53,147.54,1408.0,53,84094.93989
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,25.833,1.83,3.49,53,147.54,1408.0,53,90.15717
5303587,KIDS POND,5300584,SHOSHONE POWER PLANT,25.833,223.43,4.2,53,147.54,1408.0,53,108.4986
5204008,SOUTHFORK RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,10.97,0.1,52,147.54,1408.0,53,2.5833
5303952,A J RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.33,22.24,53,147.54,1408.0,53,574.5259199999999
5204012,STEINRPI22 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,205.17,0.2,52,147.54,1408.0,53,5.1666
5204006,REED RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,9.11,0.1,52,147.54,1408.0,53,2.5833
5303960,CRESENT LAKE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,7.17,237.247,53,147.54,1408.0,53,6128.801751
5303972,HIDDEN SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.55,53.82,53,147.54,1408.0,53,1390.33206
5303961,ED W HARPER RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,28.73,194.19,53,147.54,1408.0,53,5016.51027
5303963,E M CURRY RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,3.0,26.0,53,147.54,1408.0,53,671.6579999999999
5303565,W DEAD HORSE RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,2.85,0.3,53,147.54,1408.0,53,7.749899999999999
5204005,PINJNRPI20 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,204.34,0.1,52,147.54,1408.0,53,2.5833
5003641,WHEATLEY DIVR POND NO 2,5300584,SHOSHONE POWER PLANT,25.833,2.26,5.05,50,147.54,1408.0,53,130.45665
5303562,UP IS LAKE,5300584,SHOSHONE POWER PLANT,25.833,5.53,40.0,53,147.54,1408.0,53,1033.32
5303508,JARNOT POND 1,5300584,SHOSHONE POWER PLANT,25.833,2.17,3.0,53,147.54,1408.0,53,77.499
5300704,MIDDLE DERBY DITCH,5300584,SHOSHONE POWER PLANT,25.833,10.27,40.0,53,147.54,1408.0,53,1033.32
5300621,HIGHWATER DITCH,5300584,SHOSHONE POWER PLANT,25.833,24.25,16.0,53,147.54,1408.0,53,413.328
5300754,PIPELINE DITCH,5300584,SHOSHONE POWER PLANT,25.833,10.27,15.0,53,147.54,1408.0,53,387.495
5302006,MIN FLOW SWEETWATER CR,5300584,SHOSHONE POWER PLANT,25.833,0.02,18.0,53,147.54,1408.0,53,464.99399999999997
5300595,GRIMES BROOKS R INTAKE D,5300584,SHOSHONE POWER PLANT,25.833,3.97,22.0,53,147.54,1408.0,53,568.326
5300594,GRIMES BROOKS FDR2 D HG2,5300584,SHOSHONE POWER PLANT,25.833,2.8,23.32,53,147.54,1408.0,53,602.42556
5003644,ALBERT RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,6.1,125.26,50,147.54,1408.0,53,3235.84158
5204024,RIVER RANCH POND,5300584,SHOSHONE POWER PLANT,25.833,171.24,11.47,52,147.54,1408.0,53,296.30451
5302007,MIN FLOW DEEP CREEK,5300584,SHOSHONE POWER PLANT,25.833,0.02,14.0,53,147.54,1408.0,53,361.662
5303979,KING MOUNTAIN RES-UPPER,5300584,SHOSHONE POWER PLANT,25.833,13.7,25.08,53,147.54,1408.0,53,647.8916399999999
5204020,WASPRE PI21 RESERVOIR,5300584,SHOSHONE POWER PLANT,25.833,204.59,0.1,52,147.54,1408.0,53,2.5833
