analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,125.835,18.46,519.3342,36,147.54,1408.0,53,65350.419057
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,66.5,5.26,1002.58,37,147.54,1408.0,53,66671.57
5104700,WINDY GAP PUMP PL CANAL,3603543,GREEN MOUNTAIN RESERVOIR,50.498999999999995,257.52,600.0,51,15.77,209199.0,36,30299.399999999998
5303955,BEAVER DAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.498999999999995,1.51,13.0,53,15.77,209199.0,36,656.487
5303966,GRIMES BROOKS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.498999999999995,5.95,554.06,53,15.77,209199.0,36,27979.475939999993
5003647,CONFLUENCE RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.498999999999995,2.94,17.0,50,15.77,209199.0,36,858.483
5003668,WOLFORD MOUNTAIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,50.498999999999995,13.16,78849.0,50,15.77,209199.0,36,3981795.6509999996
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,50.334,18.41,8710.0,36,147.54,1408.0,53,438409.14
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,50.334,1.41,56.0,36,147.54,1408.0,53,2818.704
3604692,CON-HOOSIER - EAST HOOSIER DITCH CLAIM 1,5300584,SHOSHONE POWER PLANT,50.334,0.41,60.0,36,147.54,1408.0,53,3020.04
3603543,GREEN MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,50.334,15.77,209199.0,36,147.54,1408.0,53,10529822.466
3600671,INDEPENDENT BLUE DITCH,5300584,SHOSHONE POWER PLANT,50.334,33.99,40.95,36,147.54,1408.0,53,2061.1773000000003
3600649,HAMILTON DAVIDSON DITCH,5300584,SHOSHONE POWER PLANT,50.334,1.56,50.39,36,147.54,1408.0,53,2536.33026
3703689,CORNWELL POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,33.666,0.7,0.4,37,15.77,209199.0,36,13.4664
5304041,HEWES RESERVOIR NO 4,3603543,GREEN MOUNTAIN RESERVOIR,33.666,22.0,6.0,53,15.77,209199.0,36,201.99599999999998
3703600,BENCHMARK LAKE,3603543,GREEN MOUNTAIN RESERVOIR,33.666,37.52,271.8686,37,15.77,209199.0,36,9152.728287599999
5003616,HEINI RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,3.29,204.77,50,15.77,209199.0,36,6893.786819999999
5103709,WILLIAMS FORK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,2.22,187274.0,51,15.77,209199.0,36,6304766.483999999
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,15.28,5.5,51,15.77,209199.0,36,185.16299999999998
5003618,HINMAN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,3.97,916.64,50,15.77,209199.0,36,30859.602239999997
3703608,BLACK LAKE,3603543,GREEN MOUNTAIN RESERVOIR,33.666,7.56,396.36,37,15.77,209199.0,36,13343.855759999999
5003649,HEINI-KRAMER RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,5.0,38.2,50,15.77,209199.0,36,1286.0412
5303518,WASHBURN CABIN POND,3603543,GREEN MOUNTAIN RESERVOIR,33.666,7.25,28.0,53,15.77,209199.0,36,942.6479999999999
5103720,VAGABOND RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,33.666,29.9,1.884,51,15.77,209199.0,36,63.42674399999999
5003624,MARTIN LILY POND RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,52.41,803.0,50,15.77,209199.0,36,27033.798
5003651,BASIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,43.8,233.38,50,15.77,209199.0,36,7856.971079999999
5303569,PERRY POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,33.666,1.83,1.41,53,15.77,209199.0,36,47.46905999999999
5303571,PERRY POND NO 3,3603543,GREEN MOUNTAIN RESERVOIR,33.666,1.83,3.49,53,15.77,209199.0,36,117.49434
5303570,PERRY POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,33.666,10.8,1.41,53,15.77,209199.0,36,47.46905999999999
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,0.0,216.15,50,15.77,209199.0,36,7276.9059
5100763,KINNEY BARRIGER DITCH,3603543,GREEN MOUNTAIN RESERVOIR,33.666,236.23,65.0,51,15.77,209199.0,36,2188.29
5303588,GORE VIEW POND,3603543,GREEN MOUNTAIN RESERVOIR,33.666,222.2,14.1,53,15.77,209199.0,36,474.69059999999996
5003655,MILK CREEK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,2.67,185.05,50,15.77,209199.0,36,6229.8933
3703596,COTTON POND,3603543,GREEN MOUNTAIN RESERVOIR,33.666,1.42,10.114,37,15.77,209199.0,36,340.497924
5003648,LEWIS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,5.66,93.24,50,15.77,209199.0,36,3139.0178399999995
5104021,MEADOW SPRINGS RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,3.19,2.21,51,15.77,209199.0,36,74.40185999999999
5004600,SARVIS DITCH,3603543,GREEN MOUNTAIN RESERVOIR,33.666,16.44,1670.0,50,15.77,209199.0,36,56222.219999999994
3603548,HOAGLAND NO 1 RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,33.666,2.97,921.5,36,15.77,209199.0,36,31023.218999999997
3703684,BRETT RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,33.666,0.34,7.2,37,15.77,209199.0,36,242.3952
