analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
3703536,MIN LAKE BENCH LAKE NO 1,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,9.0,37,45.59,520.0,36
3802011,MIN FLOW N FK CRYSTAL R,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,20.0,38,53.09,940.28,72
5003652,COLBURN RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,16.0,50,53.09,940.28,72
4503606,DILLMAN DITCH FISH POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,4.8,45,53.09,940.28,72
7204097,SCHORN RESERVOIR NO 10,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,5.0,72,53.09,940.28,72
3803553,ASPEN VALLEY RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,5.0,38,15.77,209199.0,36
3703786,GRAHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,0.13,37,15.77,209199.0,36
5303598,YARMONY LODGE POND A,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,6.55,53,15.77,209199.0,36
5303599,YARMONY LODGE POND B,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,1.78,53,15.77,209199.0,36
5303600,YARMONY LODGE POND C,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,3.01,53,15.77,209199.0,36
3903505,GRASS VALLEY RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,6989.2,39,45.59,520.0,36
5003653,COLBURN RESERVOIR NO 2,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,23.0,50,53.09,940.28,72
3703786,GRAHAM POND NO 2,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.13,37,53.09,940.28,72
5003652,COLBURN RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,16.0,50,45.59,520.0,36
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,17.333,0.0,9.0,37,147.54,1408.0,53
3802010,MIN FLOW S FK CRYSTAL R,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,17.0,38,53.09,940.28,72
5003653,COLBURN RESERVOIR NO 2,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,23.0,50,45.59,520.0,36
5303599,YARMONY LODGE POND B,5300584,SHOSHONE POWER PLANT,17.333,0.0,1.78,53,147.54,1408.0,53
3803592,BAILEY POND NO 1,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,0.55,38,45.59,520.0,36
3903942,MOORES IRRIGATION POND,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,0.125,39,45.59,520.0,36
3803635,MARTIN POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.1,38,53.09,940.28,72
5104018,KOVACS POND NO 1,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,0.65,51,45.59,520.0,36
5104019,KOVACS POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,1.05,51,45.59,520.0,36
3803936,PAN AND FORK RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,0.5,38,15.77,209199.0,36
7204097,SCHORN RESERVOIR NO 10,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,5.0,72,45.59,520.0,36
5303600,YARMONY LODGE POND C,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,3.01,53,53.09,940.28,72
5303599,YARMONY LODGE POND B,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,1.78,53,53.09,940.28,72
3803594,BAILEY POND NO 3,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,1.0,38,15.77,209199.0,36
3803593,BAILEY POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,1.0,38,15.77,209199.0,36
3803592,BAILEY POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,0.55,38,15.77,209199.0,36
3903558,LAFRENZ POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,1.75,39,53.09,940.28,72
5103526,CORRAL CREEK WETLAND NO1,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,26.8,51,53.09,940.28,72
3802010,MIN FLOW S FK CRYSTAL R,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,17.0,38,45.59,520.0,36
3803936,PAN AND FORK RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.5,38,53.09,940.28,72
3703536,MIN LAKE BENCH LAKE NO 1,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,9.0,37,15.77,209199.0,36
3802011,MIN FLOW N FK CRYSTAL R,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,20.0,38,45.59,520.0,36
3903942,MOORES IRRIGATION POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.125,39,53.09,940.28,72
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,17.333,0.0,16.0,50,147.54,1408.0,53
3903505,GRASS VALLEY RESERVOIR,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,6989.2,39,53.09,940.28,72
5303598,YARMONY LODGE POND A,5300584,SHOSHONE POWER PLANT,17.333,0.0,6.55,53,147.54,1408.0,53
3903998,HILMES POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,1.0,39,53.09,940.28,72
3803553,ASPEN VALLEY RANCH POND,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,5.0,38,53.09,940.28,72
3803635,MARTIN POND,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,0.1,38,15.77,209199.0,36
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,17.333,0.0,26.8,51,147.54,1408.0,53
5104019,KOVACS POND NO 2,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,1.05,51,53.09,940.28,72
3703536,MIN LAKE BENCH LAKE NO 1,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,9.0,37,53.09,940.28,72
7204097,SCHORN RESERVOIR NO 10,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,5.0,72,15.77,209199.0,36
5104018,KOVACS POND NO 1,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.65,51,53.09,940.28,72
5303598,YARMONY LODGE POND A,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,6.55,53,53.09,940.28,72
3803936,PAN AND FORK RESERVOIR,3604684,BLUE RIVER DIVERSION PROJECT,7.167000000000001,0.0,0.5,38,45.59,520.0,36
3703786,GRAHAM POND NO 2,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,0.13,37,45.59,520.0,36
3803592,BAILEY POND NO 1,7200645,GRAND VALLEY CANAL,15.084000000000001,0.0,0.55,38,53.09,940.28,72
5003646,MARTIN RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,38.062,0.0,216.15,50,15.77,209199.0,36
5303598,YARMONY LODGE POND A,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,6.55,53,45.59,520.0,36
5303599,YARMONY LODGE POND B,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,1.78,53,45.59,520.0,36
5303600,YARMONY LODGE POND C,3604684,BLUE RIVER DIVERSION PROJECT,17.167,0.0,3.01,53,45.59,520.0,36
3802011,MIN FLOW N FK CRYSTAL R,3603543,GREEN MOUNTAIN RESERVOIR,19.031,0.0,20.0,38,15.77,209199.0,36
