analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict,edgeWt
5003646,MARTIN RESERVOIR,5104655,MOFFAT WATER TUNNEL,6.0,0.0,216.15,50,25.36,928.0,51,1296.9
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,133.0,0.0,9.0,37,147.54,1408.0,53,1197.0
5003653,COLBURN RESERVOIR NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,23.0,50,0.85,550.0,51,115.0
5103526,CORRAL CREEK WETLAND NO1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,26.8,51,0.85,550.0,51,134.0
5003653,COLBURN RESERVOIR NO 2,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,0.0,23.0,50,3.21,96.4,50,368.0
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,266.0,0.0,216.15,50,147.54,1408.0,53,57495.9
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,133.0,0.0,23.0,50,147.54,1408.0,53,3059.0
3900672,THOMPKINS DITCH,3900656,RYDEN NO 1 DITCH,15.0,0.0,21.0,39,2.69,5.5,39,315.0
3803593,BAILEY POND NO 2,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,1.0,38,61.8,2313.7,72,5.6670000000000025
3803553,ASPEN VALLEY RANCH POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,5.0,38,61.8,2313.7,72,28.33500000000001
3803635,MARTIN POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,0.1,38,61.8,2313.7,72,0.5667000000000003
3903942,MOORES IRRIGATION POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,0.125,39,61.8,2313.7,72,0.7083750000000003
3703786,GRAHAM POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,0.0,0.13,37,25.36,928.0,51,0.39
3803594,BAILEY POND NO 3,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,1.0,38,61.8,2313.7,72,5.6670000000000025
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,0.0,0.13,37,147.54,1408.0,53,17.29
3803592,BAILEY POND NO 1,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,0.55,38,61.8,2313.7,72,3.1168500000000017
3903998,HILMES POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,1.0,39,61.8,2313.7,72,5.6670000000000025
5103526,CORRAL CREEK WETLAND NO1,5104655,MOFFAT WATER TUNNEL,3.0,0.0,26.8,51,25.36,928.0,51,80.4
4503606,DILLMAN DITCH FISH POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,4.8,45,61.8,2313.7,72,27.20160000000001
3903558,LAFRENZ POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,1.75,39,61.8,2313.7,72,9.917250000000005
3703536,MIN LAKE BENCH LAKE NO 1,5104655,MOFFAT WATER TUNNEL,3.0,0.0,9.0,37,25.36,928.0,51,27.0
3804137,OGARA POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,2.0,38,61.8,2313.7,72,11.334000000000005
5003652,COLBURN RESERVOIR,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,16.0,50,0.85,550.0,51,80.0
5104018,KOVACS POND NO 1,5104655,MOFFAT WATER TUNNEL,3.0,0.0,0.65,51,25.36,928.0,51,1.9500000000000002
3903505,GRASS VALLEY RESERVOIR,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,6989.2,39,61.8,2313.7,72,39607.796400000014
5003646,MARTIN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,32.0,0.0,216.15,50,3.21,96.4,50,6916.8
3703536,MIN LAKE BENCH LAKE NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,9.0,37,0.85,550.0,51,45.0
5003652,COLBURN RESERVOIR,5300584,SHOSHONE POWER PLANT,133.0,0.0,16.0,50,147.54,1408.0,53,2128.0
3802114,MIN FLOW CRYSTAL R LOWER,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,100.0,38,61.8,2313.7,72,566.7000000000003
3803936,PAN AND FORK RESERVOIR,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,0.5,38,61.8,2313.7,72,2.8335000000000012
3802010,MIN FLOW S FK CRYSTAL R,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,17.0,38,61.8,2313.7,72,96.33900000000004
3900672,THOMPKINS DITCH,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,21.0,39,61.8,2313.7,72,119.00700000000005
3802011,MIN FLOW N FK CRYSTAL R,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,20.0,38,61.8,2313.7,72,113.34000000000005
5003652,COLBURN RESERVOIR,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,0.0,16.0,50,3.21,96.4,50,256.0
5003652,COLBURN RESERVOIR,5104655,MOFFAT WATER TUNNEL,3.0,0.0,16.0,50,25.36,928.0,51,48.0
5003653,COLBURN RESERVOIR NO 2,5104655,MOFFAT WATER TUNNEL,3.0,0.0,23.0,50,25.36,928.0,51,69.0
3804146,BRITVAR POND,7200646,GRAND VALLEY PROJECT,5.6670000000000025,0.0,0.23,38,61.8,2313.7,72,1.3034100000000006
5103526,CORRAL CREEK WETLAND NO1,5300584,SHOSHONE POWER PLANT,133.0,0.0,26.8,51,147.54,1408.0,53,3564.4
5104019,KOVACS POND NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,1.05,51,0.85,550.0,51,5.25
5104018,KOVACS POND NO 1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,0.65,51,0.85,550.0,51,3.25
5104018,KOVACS POND NO 1,5300584,SHOSHONE POWER PLANT,133.0,0.0,0.65,51,147.54,1408.0,53,86.45
5104019,KOVACS POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,0.0,1.05,51,147.54,1408.0,53,139.65
5104019,KOVACS POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,0.0,1.05,51,25.36,928.0,51,3.1500000000000004
