,MUDDY_POND,EWING_POND,CJC_POND_NO._1,GOOGLY_EYED_POND,SHOSHONE_POWER_PLANT,OXFORD_RESERVOIR,BRIGHTWATER_CLUB_POND_NO._5,BRERETON_POND,BUD'S_UPPER_POND,GREEN_MOUNTAIN_RESERVOIR,TOWN_OF_VAIL_WHITEWATER_PARK_STRUCTURE_2,SKELTON_DUCK_POND,PHARO_BAUER_DITCH,BACHELOR_GULCH_WETLANDS,GRAND_VALLEY_PROJECT,MILLIGAN_RESERVOIR,GRAHAM_POND_NO_2,GRAHAM_POND_NO_1,VAGABOND_RANCH_POND,BLUE_RIVER_DIVERSION_PROJECT,WINTER_PARK_BASE_DIVERSION_POINT_1,PERRY_POND_NO_2,PERRY_POND_NO_3,FETTERS_STOCK_RES_NO_1,RED_CANYON_ESTATES_POND_#_11A,RED_CANYON_ESTATES_POND_#_11B,RED_CANYON_ESTATES_POND_#_11C,RIVER_RANCH_POND,MILLER_POND,MIN_FLOW_MUDDY_CREEK,RED_CANYON_POND_15_(B),RANCH_CREEK_RANCH_POND,PERRY_POND_NO_1,BETTY_POND,GALLEGOS_RANCH_POND_NO.1,BROOKS_SNIDER_POND,UPPER_TRAVIS_POND,CORNWELL_POND_NO_1,TOWN_OF_BRECKENRIDGE_WHITEWATER_PARK,GALLEGOS_RANCH_POND_NO.4,GALLEGOS_RANCH_POND_NO.3,GALLEGOS_RANCH_POND_NO.2,PJ_MARTIN_NO_2_DITCH,MIN_FLOW_FRASER_RIVER_CROOKED_CK_-_COLORADO_RIVER,EAGLE_RIVER_DIVR_PT_NO._1,LPL_RESERVOIR,KNAPP_POND_NO_2,CROTZER_POND,KNAPP_POND_NO_1,RED_CANYON_ESTATES_POND_NO._4,RED_CANYON_ESTATES_POND_NO._6,RED_CANYON_ESTATES_POND_NO._7,RED_CANYON_ESTATES_POND_NO._1,RED_CANYON_ESTATES_POND_NO._2,RED_CANYON_ESTATES_POND_NO._3,RED_CANYON_ESTATES_POND_NO._8,BRUSH_CREEK_ROAD_AUG_POND,LAKE_LACY,SHOP_POND,LUKE_POND,SYLVAN_LAKE,INFANGER_RESERVOIR_NO_2,INFANGER_RESERVOIR_NO_3,HARTMAN_RESERVOIR,WINEGARD_POND_4,KESSLER_RESERVOIR,WINEGARD_POND_2,WINEGARD_POND_1,LURYE_RESERVOIR,RAWALT_STOCK_RES_NO_2,RAWALT_STOCK_RES_NO_1,TRAIL_POND,GORE_VIEW_POND,EAST_POND,DOENZ_POND,RED_CANYON_POND_15C,NOTTINGHAM_RES,BUCK_POND,RED_DIRT_POND_NO_1,RED_DIRT_POND_NO_2,RED_DIRT_POND_NO_3,BRIGHTWATER_CLUB_POND_NO._4,PHARO_DITCH,COLLETT_POND_NO_1,FRED_H_POND,RUEDI_RESERVOIR,COTTON_RANCH_POND_NO_3,WHEELOCK_POND_NO_1,WOLFORD_MOUNTAIN_RESERVOIR,WHEELOCK_POND_NO_2,DELIA_POND,BRETT_RANCH_POND_NO_2,TIMBERLINE_POND,COTTON_RANCH_POND_NO_4,MIN_FLOW_COLORADO_RIVER_GRANBY_OUTLET-FRASER,WILLIAMS_FORK_RESERVOIR,CHRIS_JOUFLAS_LAKE,UPPER_MCLEAN_RESERVOIR,COUNIHAN_POND,GRAND_VALLEY_CANAL
MUDDY_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EWING_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJC_POND_NO._1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOOGLY_EYED_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHOSHONE_POWER_PLANT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
OXFORD_RESERVOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRIGHTWATER_CLUB_POND_NO._5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRERETON_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUD'S_UPPER_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREEN_MOUNTAIN_RESERVOIR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
