,MIN_FLOW_BLUE_RIVER_11_-_GMR_TO_COLORADO_RIVER,OLSEN_RESERVOIR_NO_4,OLSEN_RESERVOIR_NO_5,OLSEN_RESERVOIR_NO_2,OLSEN_RESERVOIR_NO_3,OLSEN_RESERVOIR_NO_1,MORAINE_LAKE_NO_3,MORAINE_LAKE_NO_2,MORAINE_LAKE_NO_1,GOOGLY_EYED_POND,LOBACK_DITCH,SHOSHONE_POWER_PLANT,OXFORD_RESERVOIR,18TH_HOLE_RESERVOIR,BUD'S_UPPER_POND,STOUT_RESERVOIR,GREEN_MOUNTAIN_RESERVOIR,CHAROLAIS_RESERVOIR,LEONARD_HORN_DITCH_NO_1,LEONARD_HORN_DITCH_NO_2,SKELTON_DUCK_POND,PHARO_BAUER_DITCH,BACHELOR_GULCH_WETLANDS,EDWARDS_RESERVOIR,MILLIGAN_RESERVOIR,GRAHAM_POND_NO_2,GRAHAM_POND_NO_1,VAGABOND_RANCH_POND,BLUE_RIVER_DIVERSION_PROJECT,PERRY_POND_NO_1,PERRY_POND_NO_2,PERRY_POND_NO_3,EAGLE_RIVER_DIVR_PT_NO._1,SAWMILL_RESERVOIR,MILLER_POND,TONIER_GULCH_RESERVOIR,EAST_BEARD_RESERVOIR,CROSS_GUL_#2_RESERVOIR,BETTY_POND,HURT_RESERVOIR,PILGRIM_RANCH_POND_NO_3,PILGRIM_RANCH_POND_NO_1,UPPER_TRAVIS_POND,PILGRIM_RANCH_POND_NO_7,PILGRIM_RANCH_POND_NO_6,PILGRIM_RANCH_POND_NO_5,PILGRIM_RANCH_POND_NO_4,TEPE_RESERVOIR,PILGRIM_RANCH_POND_NO_9,CORNWELL_POND_NO_1,BLACK_LAKE_NO_2,GALLEGOS_RANCH_POND_NO.4,GALLEGOS_RANCH_POND_NO.3,GALLEGOS_RANCH_POND_NO.2,GALLEGOS_RANCH_POND_NO.1,WINDY_GAP_RESERVOIR,MIN_LAKE_GORE_LAKE,STAUFER_RESERVOIR,RED_CANYON_ESTATES_POND_NO._4,PETTY_RESERVOIR,MILK_CREEK_RESERVOIR,BEAR_GUL_RES,KINGS_RESERVOIR,KOVACS_POND_NO_2,TRAILER_POND,KOVACS_POND_NO_1,SYLVAN_LAKE,MIN_FLOW_COLORADO_RIVER_TROUBLESOME-BLUE,HARTMAN_RESERVOIR,BORAH_LAKE,MIN_LAKE_WHITNEY,RAWALT_STOCK_RES_NO_1,RAWALT_STOCK_RES_NO_2,CRESENT_LAKE_RESERVOIR,CONTINENTAL_DIVIDE_POND,TRAIL_POND,NEWTON_GULCH_RESERVOIR,GORE_VIEW_POND,RED_CANYON_POND_15C,NOTTINGHAM_RES,TOWNSEND_DITCH,UNCAPHER_SPR_RESERVOIR,G_G_LOWER_RESERVOIR,TIMBERLINE_POND,BRETT_RANCH_POND_NO_2,HIDDEN_SPRINGS_RESERVOIR,COTTON_POND_NO_2,POND_B-1,PINEY_PEAK_POND_NO_2,HINMAN_RESERVOIR,WALTER_RESERVOIR,TIMBER_SPRINGS_LOT_2_WATER_FEATURE,CHRISTENSEN_DAM,GRAND_VALLEY_CANAL,WARREN_DITCH,ALBERT_RESERVOIR,PINEY_PEAK_POND_NO_3,PINEY_PEAK_POND_NO_1,PINEY_PEAK_POND_NO_4,PINEY_PEAK_POND_NO_5
MIN_FLOW_BLUE_RIVER_11_-_GMR_TO_COLORADO_RIVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLSEN_RESERVOIR_NO_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLSEN_RESERVOIR_NO_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLSEN_RESERVOIR_NO_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLSEN_RESERVOIR_NO_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLSEN_RESERVOIR_NO_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORAINE_LAKE_NO_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORAINE_LAKE_NO_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORAINE_LAKE_NO_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOOGLY_EYED_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
