,L_E_D_E_RESERVOIR,BENSON_RANCH_POND,GRAND_ELK_POND_A,W_E_DITCH,LONESOME_DOVE_POND,CLINTON_GULCH_RESERVOIR,ZEPHYR_POND_NO_1,MCKOWN_DITCH,SHOSHONE_POWER_PLANT,BRIGHTWATER_CLUB_POND_NO._4,MOUNTAIN_MEADOW_DITCH,MORROW_GRAVEL_POND_NO_1,MIN_FLOW_BLUE_RIVER_7_-_ROCK_CK_TO_WILLOW_CK,GYPSUM_CRWD3_RESERVOIR,MELODY_LODGE_POND,FAUSEL_POND_NO_1,FAUSEL_POND_NO_2,TRENT_PARK_POND,FRASER_VALLEY_DOWNSTREAM_RESERVOIR,BEARDSLEY_NO_1_POND,YOSUICHI_RESERVOIR,UPPER_ROAN_CREEK_DITCH,LOST_LAKE,RANCH_CREEK_RANCH_POND,GCWSD_WATER_STORAGE_RESERVOIR_NO_1,GCWSD_WATER_STORAGE_RESERVOIR_NO_2,STOWELL_POND_NO_1,STOWELL_POND_NO_2,MIN_FLOW_ARAPAHO_CREEK,MIN_FLOW_ST_LOUIS_CK_-_EAST_ST_LOUIS-WEST_ST_LOUIS,MIN_FLOW_COLORADO_RIVER_RANGER_CK-GRANBY_RESERVOIR,BATTLEMENT_NO_5_RES,CROOKED_DITCH,MURRAY/BREIDER_POND,MIN_FLOW_ST_LOUIS_CK_-_WEST_ST_LOUIS-KING_CREEK,ERICKSON_LK_RESERVOIR,TOWN_OF_BRECKENRIDGE_WHITEWATER_PARK,HEIT_RANCH_RESERVOIR,PARK_DITCH,BATTLEMENT_NO_4_RES,MCCOY_POND_NO_2,KESSLER_RESERVOIR,BRIGHTWATER_CLUB_POND_NO._5,MARTIN_RESERVOIR,WINEGARD_POND_1,MIN_FLOW_FRASER_RIVER_VASQUEZ_-_ST_LOUIS,RIFLE_GAP_RESERVOIR,LAKE_LACY,MIN_FLOW_BLUE_RIVER_6_-_STRAIGHT_CK_TO_WILLOW_CK,HELLSHOLE_RESERVOIR,BEAR_GUL_RES,MILLER_DITCH,TRIPLE_CREEK_POND_NO_6,WINEGARD_POND_4,WINEGARD_POND_3,WINEGARD_POND_2,DAVENPORT_D_(COTTNWD),PUMP_POND,BORAH_LAKE,SAINT_NO_2_DITCH,ASHBACH_RESERVOIR,MIN_LAKE_BORAH,CRYSTALLINE_POND_NO_1,TAUGHENBAUGH_DITCH,BARBER_POND,EAST_POND,H_O_R_DITCH,VANHORN_RESERVOIR,POLARIS_RESERVOIR,BRIGHTWATER_CLUB_POND_NO._3,MIN_FLOW_COLORADO_RIVER_WINDY_GAP-WILLIAMS_FORK,STRATTON_AND_CO_DITCH,HOMESTAKE_PROJ_RESERVOIR,VILLAGE_CORE_POND_DEPLETION_REACH,DAGGETT_AND_PARKER_DITCH,SANDERS_POND_NO_1,ATKINSON_DITCH,TIMBERLINE_POND,GREEN_MTN_HYDRO-ELECTRIC,MORMON_MESA_DITCH,BEAVER_CR_GRASS_MESA_D,N_MILLER_RESERVOIR,H_V_C_AND_S_DITCH,DILLON_RESERVOIR,GRASS_VALLEY_CANAL_DEPLETION_REACH,MIN_FLOW_COLORADO_RIVER_GRANBY_OUTLET-FRASER,MIN_FLOW_NORTH_FORK_COLORADO_RIVER,MEADOW_SPRINGS_RESERVOIR,BATTLEMENT_NO_3_RES,WILKINSON_RESERVOIR,ORR_RESERVOIR_EAST_NINE_MILE,LOST_LAKE_RESERVOIR,CHERRY_LAKE,YOUNG_LIFE_POND_NO_1,DOOSE_DITCH,ARAPAHOE_BASIN_SNOWMAKING_RESERVOIR,PIONEER_OF_PLATEAU_DITCH,SUNSET_RIDGE_POND,COUNIHAN_POND,SLOSS_DITCH
L_E_D_E_RESERVOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENSON_RANCH_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAND_ELK_POND_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W_E_DITCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONESOME_DOVE_POND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLINTON_GULCH_RESERVOIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEPHYR_POND_NO_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCKOWN_DITCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHOSHONE_POWER_PLANT,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
BRIGHTWATER_CLUB_POND_NO._4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
