PageNumber,PageCount,ResultCount,ResultDateTime
1,1,2300,2020-10-12T20:32:54.7529136-06:00
stationNum,abbrev,usgsSiteId,stationName,dataSource,division,waterDistrict,county,state,utmX,utmY,latitude,longitude,locationAccuracy,startDate,endDate,modified,moreInformation,measUnit
448,SOMIGOCO,06615000,"SOUTH FORK MICHIGAN RIVER NEAR GOULD, CO.",USGS,6,47,JACKSON,CO,414486.3,4479547.9,40.462212,-106.008643,User supplied,1950-10-01T00:00:00.0000000,1958-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
449,MIFAIRCO,06693980,"MIDDLE FORK SOUTH PLATTE RIVER AB FAIRPLAY, CO.",USGS,1,23,PARK,CO,411177.7,4343543.8,39.236665,-106.029192,User supplied,1978-04-01T00:00:00.0000000,1980-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
450,MIFHARCO,06694100,"MIDDLE FORK SOUTH PLATTE RIVER NR HARTSEL, CO.",USGS,1,23,PARK,CO,434329.9,4319515.5,39.022225,-105.758629,User supplied,1978-05-01T00:00:00.0000000,1980-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
451,PLAGEOCO,06696000,"SOUTH PLATTE RIVER NEAR LAKE GEORGE, CO.",DWR,1,23,PARK,CO,458959.0,4306371.0,38.905271,-105.473328,GPS,1929-10-01T00:00:00.0000000,2020-08-31T00:00:00.0000000,2020-09-09T00:00:00.0000000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
452,JEFJEFCO,06698000,JEFFERSON CREEK NEAR JEFFERSON,AURO,1,23,PARK,CO,430200.1,4360645.9,39.392486,-105.810572,User supplied,1978-06-01T00:00:00.0000000,2020-09-30T00:00:00.0000000,2020-09-30T09:50:27.2600000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
453,TARJEBCO,06699005,"TARRYALL CREEK BELOW ROCK CREEK NEAR JEFFERSON, CO",USGS,1,23,PARK,CO,439989.6,4348849.3,39.286936,-105.695848,User supplied,1983-05-01T00:00:00.0000000,1997-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
454,SPRANOCO,06702000,"S PLATTE R AB NORTH FORK AT SOUTH PLATTE, CO.",USGS,1,8,JEFFERSON,CO,485269.1,4361857.4,39.406102,-105.171113,User supplied,1905-06-01T00:00:00.0000000,1912-11-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
455,PLAGROCO,06702500,"NORTH FORK SOUTH PLATTE RIVER AT GRANT, CO.",USGS,1,80,PARK,CO,442861.4,4367941.8,39.459161,-105.664188,User supplied,1910-08-01T00:00:00.0000000,1917-12-31T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
456,EASPLUCO,06708750,"EAST PLUM CR AT CASTLE ROCK, COLO.",USGS,1,8,DOUGLAS,CO,511867.4,4359448.1,39.384439,-104.862216,User supplied,1985-08-01T00:00:00.0000000,1989-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
457,PLULOUCO,06709500,"PLUM CREEK NEAR LOUVIERS, CO.",USGS,1,8,DOUGLAS,CO,499786.3,4370536.8,39.484440,-105.002499,User supplied,1947-10-01T00:00:00.0000000,2001-10-16T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
458,BCRMORCO,06710500,BEAR CREEK AT MORRISON,DWR,1,9,JEFFERSON,CO,483219.6,4389257.0,39.652952,-105.195603,User supplied,1900-05-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-10T23:50:59.6300000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
460,TURBCRCO,06711040,TURKEY CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON,USGS,1,9,JEFFERSON,CO,486326.9,4387892.7,39.640708,-105.159350,GPS,1986-05-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:27:51.4200000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
461,BCRSHECO,06711500,BEAR CREEK AT SHERIDAN,DWR,1,9,ARAPAHOE,CO,497170.0,4389172.0,39.652346,-105.032997,User supplied,1927-03-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-10T23:56:39.7470000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
462,PLAENGCO,06711565,"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",USGS,1,8,ARAPAHOE,CO,499644.1,4390575.1,39.664987,-105.004149,User supplied,1983-02-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:07:51.5300000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
465,CHEGLECO,06713300,"CHERRY CREEK AT GLENDALE, CO",USGS,1,8,DENVER,CO,505359.4,4395139.6,39.706107,-104.937496,User supplied,1985-01-01T00:00:00.0000000,2003-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
466,SENBORCO,06714220,"SENAC CR AT N BDR SLUDGE AREA, NR AURORA, CO DUP1",USGS,1,2,ARAPAHOE,CO,527741.9,4389145.3,39.651657,-104.676646,User supplied,1989-08-01T00:00:00.0000000,1993-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
467,WECLEMCO,06715500,"WEST FORK CLEAR CREEK ABOVE EMPIRE, CO.",USGS,1,7,CLEAR CREEK,CO,440134.3,4401383.0,39.760271,-105.698907,User supplied,1942-09-01T00:00:00.0000000,1946-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
468,RALMINCO,06719735,"RALSTON C BL SHWARTZWLDER MINE NR PLAINVIEW, CO.",USGS,1,7,JEFFERSON,CO,476354.6,4410434.8,39.843605,-105.276385,User supplied,1983-03-01T00:00:00.0000000,1983-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
470,WOMPLACO,06720690,"WOMAN CREEK NEAR PLAINVIEW, CO.",USGS,1,2,JEFFERSON,CO,483043.0,4415041.5,39.885274,-105.198332,User supplied,1973-07-01T00:00:00.0000000,1974-10-31T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
471,SVCLYOCO,06724000,"SAINT VRAIN CREEK AT LYONS, CO",DWR,1,5,BOULDER,CO,477878.0,4451990.0,40.218043,-105.260001,User supplied,1895-10-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:23:40.4370000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
472,LEFTLOCO,06725000,"LEFT HAND CREEK AT MOUTH, AT LONGMONT, CO.",USGS,1,5,BOULDER,CO,491318.1,4444100.9,40.147214,-105.101940,User supplied,1927-03-01T00:00:00.0000000,1955-12-31T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
473,SVCBLOCO,06725450,"ST. VRAIN CREEK BELOW LONGMONT, CO.",USGS,1,5,WELD,CO,498689.0,4445230.0,40.157430,-105.015404,User supplied,1976-10-01T00:00:00.0000000,2015-09-30T00:00:00.0000000,2019-08-15T14:27:10.8370000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
474,BTCANYCO,06738000,BIG THOMPSON RIVER AT MOUTH OF CANYON NEAR DRAKE,NWBOR,1,4,LARIMER,CO,480755.7,4474606.5,40.421867,-105.226858,User supplied,1927-01-01T00:00:00.0000000,2013-09-11T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
475,JOECAMCO,06746100,"JOE WRIGHT CREEK NEAR CAMERON PASS, CO",USGS,1,48,LARIMER,CO,425837.5,4488832.1,40.546932,-105.875850,User supplied,1973-09-01T00:00:00.0000000,1978-10-31T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
476,PLAKERCO,06754000,"SOUTH PLATTE RIVER NEAR KERSEY, CO",DWR,1,1,WELD,CO,537061.6,4473634.0,40.412507,-104.563185,Digitized off map,1901-05-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:39:40.7130000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
477,KIOWACCO,06758200,"KIOWA CREEK AT KIOWA, CO.",USGS,1,1,ELBERT,CO,545199.1,4354329.3,39.337213,-104.475535,User supplied,1955-10-01T00:00:00.0000000,1965-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
478,BIJWIGCO,06759000,"BIJOU CREEK NEAR WIGGINS, CO.",USGS,1,1,MORGAN,CO,581983.7,4455732.9,40.248043,-104.036068,User supplied,1950-04-01T00:00:00.0000000,1956-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
480,REPSOHCO,06826500,"SOUTH FORK REPUBLICAN RIVER NEAR HALE, CO.",USGS,1,49,YUMA,CO,743462.8,4389858.2,39.623887,-102.163530,User supplied,1946-10-01T00:00:00.0000000,1986-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
481,ARKEFOCO,07079300,"EF ARKANSAS R AT US HIGHWAY 24, NR LEADVILLE, CO.",USGS,2,11,LAKE,CO,387308.6,4347829.0,39.272489,-106.306413,User supplied,1990-06-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:27:51.5000000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
482,ARKLEACO,07081200,"ARKANSAS RIVER NEAR LEADVILLE, CO",USGS,2,11,LAKE,CO,383672.7,4345274.9,39.249000,-106.348111,GPS,1967-10-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:27:51.5130000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
483,CCACCRCO,07086500,"CLEAR CREEK ABOVE CLEAR CREEK RESERVOIR, CO.",DWR,2,11,CHAFFEE,CO,389400.0,4319579.0,39.018264,-106.277574,Digitized off map,1946-05-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:41:40.7670000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
484,ARKPONCO,07099200,"ARKANSAS RIVER NEAR PORTLAND, CO.",USGS,2,14,PUEBLO,CO,505342.2,4243233.5,38.337234,-104.938884,User supplied,1964-10-01T00:00:00.0000000,1974-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
485,ARKPUNCO,07099500,"ARKANSAS RIVER NEAR PUEBLO, CO.",USGS,2,14,PUEBLO,CO,529938.9,4235520.2,38.267229,-104.657763,User supplied,1894-10-01T00:00:00.0000000,1975-09-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
486,MONGATCO,07103780,"MONUMENT C AB N.GATE BLVD AT USAF ACADEMY, CO.",USGS,2,10,EL PASO,CO,513276.4,4320230.9,39.031028,-104.846611,User supplied,1985-05-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:07:51.6070000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
487,MONRAMCO,07103797,"WEST MONUMENT CREEK BELOW RAMPART RESERVOIR, CO",USGS,2,10,EL PASO,CO,503851.4,4314002.3,38.974992,-104.955537,User supplied,1993-12-01T00:00:00.0000000,2020-10-10T00:00:00.0000000,2020-10-11T00:37:51.5330000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
488,WEMOPICO,07103900,"WEST MONUMENT CREEK NEAR PIKEVIEW, CO.",USGS,2,10,EL PASO,CO,508712.4,4313605.5,38.971392,-104.899440,User supplied,1957-10-01T00:00:00.0000000,1970-04-30T00:00:00.0000000,2015-06-17T11:53:02.5930000,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
