analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2016-06-01T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-02T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-03T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-04T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-05T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-06T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-07T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-08T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-09T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-10T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-11T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-12T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-14T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-15T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-16T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-17T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-18T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-19T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-20T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-21T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-22T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-23T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-24T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-25T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-26T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-27T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-28T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-29T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-06-30T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-01T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-02T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-03T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-04T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-05T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-06T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-07T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-08T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-09T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-10T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-11T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-12T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,,,,,,,,,,,,,,,,,,
2016-07-12T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,5,CALL,2016-07-12T09:00:00.0000000,2016-07-13T07:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200616,NEW ERIE CANAL,22995.20605,0,1912-12-16T00:00:00.0000000,284,,,,
2016-07-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,0.0,5,CALL,2016-07-12T09:00:00.0000000,2016-07-13T07:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200616,NEW ERIE CANAL,22995.20605,0,1912-12-16T00:00:00.0000000,284,,,,
2016-07-13T00:00:00.0000000,7203834,COLBY HORSE PARK RES,22995.18506,70.8,5,CALL,2016-07-13T07:00:00.0000000,2016-07-28T11:00:00.0000000,PLATEAU CREEK,7200540,BLACKMAN DUNLAP CLARK D,27.29,7200730,KIGGINS SALISBURY DITCH,18749.18486,0,1901-05-02T00:00:00.0000000,,,,,
