WDID,Y,X,Gridcell
3600507,39.782243,-106.171172,x151y119
3600603,39.702602,-106.10655,x152y118
3600606,39.876799,-106.341912,x150y120
3600642,39.777158,-106.158841,x151y119
3600645,39.838853,-106.35029,x150y119
3600649_D,39.772565,-106.178702,x151y119
3600658,39.652799,-106.104154,x152y118
3600660,39.795947,-106.163345,x151y119
3600662_D,39.857656,-106.346406,x150y119
3600671,39.736577,-106.13337,x151y118
3600687,39.768836,-106.181301,x151y119
3600709,40.012803,-106.383593,x149y121
3600725,39.822714,-106.255622,x150y119
3600728,39.827773,-106.25636,x150y119
3600729,39.826876,-106.254806,x150y119
3600734,39.671478,-106.08953,x152y118
3600765,39.807309,-106.168665,x151y119
3600775,39.952843,-106.358157,x150y120
3600776_D,39.963434,-106.359051,x150y120
3600780,39.758106,-106.131223,x151y119
3600784,39.644615,-106.026602,x152y118
3600796,39.813944,-106.203719,x151y119
3600801,39.879016,-106.389365,x149y120
3600829,39.644492,-106.027638,x152y118
3600832,39.856752,-106.365993,x150y119
3600841,39.388067,-106.197474,x151y116
3600868_D,39.856926,-106.286912,x150y119
3600881,39.878681,-106.332824,x150y120
3600908,39.606716,-105.951578,x153y117
3600989,39.475246,-106.047176,x152y116
3601008,39.45554,-106.031436,x152y116
3601016,39.499333,-106.152132,x151y116
3604512HU,39.618299,-106.065573,x149y115
3604626,39.622912,-105.791442,x154y117
3604683,39.382956,-106.07716,x152y116
3604683SU,39.382956,-106.07716,x152y116
3604684,39.616983,-106.044229,x152y117
3604685,39.417587,-105.96566,x153y116
3604699,39.380773,-106.071342,x152y116
36GMCON,39.878681,-106.332824,x150y120
36_ADC017,39.72615453,-106.134661,x151y118
36_ADC018,39.84293271,-106.2757344,x150y119
36_ADC019,39.95206016,-106.393507,x149y120
36_KeyMun,39.606716,-105.951578,x153y117
3700519,39.575911,-106.571044,x148y117
3700539,39.614502,-106.96348,x145y117
3700545,39.645208,-106.835015,x146y118
3700548,39.647302,-106.878727,x145y118
3700560,39.615485,-106.614854,x148y117
3700561,39.595279,-106.96968,x145y117
3700571,39.62783,-106.614069,x148y118
3700642,39.689736,-106.746039,x147y118
3700655,39.574181,-106.959431,x145y117
3700658,39.63714,-106.546979,x148y118
3700686,39.616155,-106.765133,x146y117
3700694,39.626774,-106.787703,x146y118
3700708,39.626476,-106.507,x148y118
3700723,39.642209,-106.826976,x146y118
3700743,39.667267,-106.646102,x147y118
3700823,39.55905,-106.951102,x145y117
3700830,39.635462,-106.535639,x148y118
3700843,39.574717,-106.764722,x146y117
3700848,39.688493,-106.748421,x147y118
3700857,39.623455,-106.773835,x146y117
3701146,39.703645,-106.658586,x147y118
3704516HU,39.369483,-106.46119,x149y115
3704614,39.356768,-106.466345,x149y115
3704641,39.375708,-106.234958,x151y116
3704642,39.36515,-106.29201,x150y115
3704643,39.390028,-106.47035,x149y116
3704648,39.354099,-106.352703,x150y115
37VAILIRR,39.656892,-106.3787223,x154y121
37VAILMUN,39.656892,-106.3787223,x154y121
37_ADC029,39.67366856,-106.6746498,x147y118
37_ADC030,39.60258182,-106.7690498,x146y117
37_ADC031,39.58643568,-106.9513865,x145y117
3800516,39.462355,-107.32419,x142y116
3800528,39.399815,-107.119918,x144y116
3800545,39.283778,-107.014763,x144y115
3800547,39.367164,-107.202849,x143y115
3800569,39.462777,-107.109812,x144y116
3800572,39.225715,-107.087365,x144y114
3800573,39.265298,-107.028072,x144y115
3800574,39.375094,-107.201809,x143y116
3800606,39.256193,-106.84895,x146y115
3800618,39.414734,-107.218828,x143y116
3800639,39.245433,-107.036747,x144y114
3800651,39.293947,-107.21552,x143y115
3800659,39.290879,-106.910278,x145y115
3800660,39.22533,-107.018233,x144y114
3800663,39.339807,-107.207837,x143y115
3800667,39.468409,-107.073362,x144y116
3800688,39.480198,-107.317193,x142y116
3800712,39.417669,-107.232604,x143y116
3800715,39.346417,-107.013347,x144y115
3800720,39.245671,-107.037043,x144y114
3800740,39.374939,-107.084595,x144y115
3800749,39.142621,-106.894552,x145y114
3800755,39.185247,-106.835669,x146y114
3800757,39.357198,-107.026504,x144y115
3800798,39.410533,-107.180067,x143y116
3800800,39.334652,-106.990687,x145y115
3800822,39.420442,-107.30578,x142y116
3800838,39.400735,-107.146399,x143y116
3800840,39.326386,-107.209097,x143y115
3800854,39.163787,-106.880651,x145y114
3800861,39.260861,-107.032974,x144y115
3800869,39.16192,-106.847064,x146y114
3800879,39.469505,-107.06834,x144y116
3800880_D,39.2982,-107.111746,x144y115
3800881,39.467102,-107.062596,x144y116
3800890,39.198128,-106.986387,x145y114
3800893,39.403593,-107.315351,x142y116
3800902,39.460043,-107.100626,x144y116
3800920,39.40545,-107.2019,x143y116
3800924,39.253243,-106.838136,x146y115
3800925,39.461649,-107.157068,x143y116
3800930,39.402155,-107.161656,x143y116
3800939,39.331804,-107.218861,x143y115
3800959,39.322629,-106.983572,x145y115
3800966,39.445394,-107.262843,x142y116
3800968,39.369826,-107.070723,x144y115
3800970,39.368861,-107.202217,x143y115
3800981,39.180601,-106.802566,x146y114
3800989,39.343333,-107.075555,x144y115
3800994,39.311112,-107.114396,x144y115
3800996,39.400525,-107.159049,x143y116
3801012,39.271569,-106.958102,x145y115
3801018,39.405609,-107.228295,x143y116
3801038,39.272698,-107.225202,x143y115
3801052,39.291697,-107.20264,x143y115
3801062,39.399768,-107.154835,x143y116
3801066,39.491463,-107.23626,x143y116
3801073,39.273971,-106.87351,x146y115
3801078,39.273262,-106.958137,x145y115
3801082,39.384947,-107.206763,x143y116
3801096_D,39.297346,-106.999962,x145y115
3801101,39.167421,-106.881098,x145y114
3801104,39.164773,-106.940391,x145y114
3801121,39.329243,-106.985638,x145y115
3801132,39.276952,-106.885265,x145y115
3801147,39.401299,-107.229424,x143y116
3801441,39.189483,-106.985542,x145y114
3801481,39.502391,-107.160375,x143y117
3801594,39.210843,-106.677785,x147y114
3801661,39.252716,-106.83562,x146y115
3801790,39.204908,-106.799817,x146y114
3803713I1,39.363693,-106.818708,x146y115
3803713I2,39.363693,-106.818708,x146y115
3803713M1,39.363693,-106.818708,x146y115
3803713M2,39.363693,-106.818708,x146y115
3803713M3,39.363693,-106.818708,x146y115
3804613,39.264631,-106.499428,x149y115
3804617,39.0789,-106.613323,x148y113
3804625,39.244396,-106.530528,x148y114
3804625SU,39.244396,-106.530528,x148y114
3804717,39.434641,-107.372342,x142y116
38_ADC033,39.25996003,-106.8850134,x145y115
38_ADC034,39.2674953,-107.0056436,x144y115
38_ADC035,39.3856139,-106.8719747,x146y116
38_ADC036,39.3210276,-107.0621003,x144y115
38_ADC037,39.40672292,-107.1306777,x143y116
38_ADC038,39.32960537,-107.2169552,x143y115
38_ADC039,39.48292933,-107.1441029,x143y116
38_ADC040,39.43073798,-107.3207838,x142y116
3900532,39.511599,-107.85685,x138y117
3900537,39.468781,-108.078274,x136y116
3900539,39.596529,-107.557329,x140y117
3900540,39.652202,-107.49984,x141y118
3900546_D,39.587652,-108.108307,x136y117
3900547,39.626518,-107.757652,x138y118
3900548,39.644321,-107.446489,x141y118
3900562,39.561701,-108.114001,x136y117
3900563,39.675752,-107.698383,x139y118
3900563_I,39.675752,-107.698383,x139y118
3900574,39.596753,-107.765646,x138y117
3900585,39.652033,-107.704314,x139y118
3900590,39.529034,-108.127243,x135y117
3900610,39.519213,-108.131652,x135y117
3900612,39.55079,-107.571276,x140y117
3900635,39.476396,-108.100497,x136y116
3900638,39.620788,-107.546725,x140y117
3900645,39.616871,-107.764048,x138y117
3900663,39.541511,-107.616824,x140y117
3900672,39.597055,-107.571008,x140y117
3900687,39.578272,-107.545778,x140y117
3900701,39.606499,-107.550896,x140y117
3900710,39.460452,-108.036349,x136y116
3900712,39.460388,-108.036283,x136y116
3900728,39.460643,-108.036986,x136y116
3900825,39.605761,-107.448753,x141y117
3900967,39.532145,-107.756157,x138y117
3900990,39.617706,-107.764486,x138y117
3903505_I,39.605834,-107.66081,x139y117
39_ADC041,39.63755707,-107.5672916,x140y118
39_ADC045,39.64921209,-107.8260647,x138y118
4200520,39.598096,-107.766386,x138y117
4200541,39.598096,-107.766386,x138y117
4200541_I,39.598096,-107.766386,x138y117
4500514,39.436062,-107.978413,x137y116
4500572,39.508299,-107.51888,x140y117
4500576_D,39.346955,-107.588768,x140y116
4500584,39.444088,-107.603816,x140y116
4500616,39.47563,-107.909289,x137y116
4500632_D,39.435264,-107.914415,x137y116
4500635,39.518713,-107.543106,x140y117
4500638,39.440762,-107.985981,x137y116
4500648,39.50395,-107.512174,x140y117
4500668,39.53854,-107.646963,x139y117
4500675,39.505227,-107.608493,x140y117
4500685,39.420186,-107.701867,x139y116
4500693_D,39.509851,-107.608445,x139y117
4500704,39.459302,-107.625268,x139y116
4500705,39.491649,-107.50246,x140y116
4500725,39.391925,-107.601793,x140y116
4500743,39.538417,-107.64238,x139y117
4500749,39.485754,-107.449926,x141y116
4500788,39.473855,-107.424531,x141y116
4500790,39.464832,-107.612259,x140y116
4500793,39.487068,-107.831368,x138y116
4500810,39.523852,-107.612006,x140y117
4500818,39.414611,-107.615606,x140y116
4500861,39.331377,-108.204942,x135y115
4500969,39.382585,-108.129986,x135y116
45_ADC042,39.54374186,-107.4872089,x141y117
45_ADC043,39.45902469,-107.5724948,x140y116
45_ADC044,39.42783638,-107.7197128,x139y116
45_ADC046,39.48527177,-107.8468791,x138y116
45_ADC047,39.46161867,-107.9214576,x137y116
45_ADC048,39.42099487,-108.024191,x136y116
5000517,40.119348,-106.286255,x150y121
5000526,40.076491,-106.29459,x150y121
5000539,40.168934,-106.298658,x150y122
5000574,40.163442,-106.491878,x149y122
5000576,40.172712,-106.259996,x150y122
5000582,40.163117,-106.466688,x149y122
5000585,40.142082,-106.466124,x149y122
5000593,40.19878,-106.309966,x150y122
5000598,40.1575,-106.283434,x150y122
5000601,40.356447,-106.571609,x148y123
5000606,40.213675,-106.311416,x150y122
5000612,40.048666,-106.384052,x149y121
5000613,40.045395,-106.394426,x149y121
5000617,40.160817,-106.559201,x148y122
5000627,40.140645,-106.470466,x149y122
5000628,40.227052,-106.313814,x150y122
5000632,40.140505,-106.28219,x150y122
5000653_D,40.134811,-106.288257,x150y122
5000654,40.194336,-106.307848,x150y122
5000656,40.208235,-106.429895,x149y122
5000731,40.150725,-106.29791,x150y122
5000734_D,40.062836,-106.393727,x149y121
5000744,40.361029,-106.632369,x147y123
5003668FR,40.113067,-106.414864,x149y121
5003668HU,40.113067,-106.414864,x149y121
5003668MK,40.113067,-106.414864,x149y121
5003668MP,40.113067,-106.414864,x149y121
50_ADC012,40.1363322,-106.3063634,x150y122
50_ADC013,40.30411308,-106.541208,x148y123
50_ADC014,40.25724354,-106.4589983,x149y123
50_ADC015,40.21155614,-106.4273822,x149y122
50_ADC016,40.15099369,-106.5063799,x149y122
50_ADC020,40.05516364,-106.3870959,x150y121
5100529_D,39.970031,-106.158973,x151y120
5100546,40.136807,-105.928851,x153y122
5100585,40.127212,-105.88984,x153y122
5100594,39.947677,-105.878099,x153y120
5100629,40.060998,-106.214923,x151y121
5100639,39.861633,-105.749423,x155y119
5100660,39.932424,-105.842826,x154y120
5100686,40.083596,-105.94587,x153y121
5100699,39.952082,-105.814357,x154y120
5100700,39.949511,-105.822843,x154y120
5100728,39.996799,-105.75435,x154y120
5100763,40.055336,-106.284165,x150y121
5100788,39.93917,-106.135605,x151y120
5100810,40.136511,-106.20092,x151y122
5100826,40.078559,-105.916622,x153y121
5100829,39.932378,-105.844435,x154y120
5100831,40.082442,-105.934397,x153y121
5100848,40.251869,-105.867817,x154y123
5100858,40.103948,-106.187642,x151y121
5100876,40.087775,-105.966475,x153y121
5100880_D,40.117501,-105.926878,x153y121
5100883,40.095975,-106.038557,x152y121
5100893,40.061131,-106.245241,x151y121
5100924,39.966983,-106.074147,x152y120
5100934,40.184567,-105.978836,x153y122
5100939,40.086526,-106.071567,x152y121
5100941,40.074483,-105.85757,x154y121
5100948,40.084556,-105.816524,x154y121
5100958,40.144627,-105.902241,x153y122
