year,prop,1st_q,median,3rd_q,max,min,mean
2000,betweenness_centrality,0,0,0,3.32E-06,0,2.14E-09
2001,betweenness_centrality,0,0,0,3.18E-06,0,2.00E-09
2002,betweenness_centrality,0,0,0,1.55E-05,0,1.53E-08
2003,betweenness_centrality,0,0,0,0.000262178,0,1.74E-07
2004,betweenness_centrality,0,0,0,2.24E-05,0,1.74E-08
2005,betweenness_centrality,0,0,0,0,0,0
2006,betweenness_centrality,0,0,0,0,0,0
2007,betweenness_centrality,0,0,0,6.96E-06,0,3.91E-09
2008,betweenness_centrality,0,0,0,0,0,0
2009,betweenness_centrality,0,0,0,0,0,0
2010,betweenness_centrality,0,0,0,1.60E-05,0,9.32E-09
2011,betweenness_centrality,0,0,0,0,0,0
2012,betweenness_centrality,0,0,0,1.74E-05,0,1.52E-08
2013,betweenness_centrality,0,0,0,4.89E-05,0,3.58E-08
2014,betweenness_centrality,0,0,0,0,0,0
2015,betweenness_centrality,0,0,0,2.13E-05,0,1.09E-08
2016,betweenness_centrality,0,0,0,1.99E-06,0,1.36E-09
2017,betweenness_centrality,0,0,0,3.67E-05,0,1.86E-08
2018,betweenness_centrality,0,0,0,3.49E-05,0,3.01E-08
2019,betweenness_centrality,0,0,0,7.92E-07,0,4.98E-10
2020,betweenness_centrality,0,0,0,0,0,0
2000,closeness_centrality,0.000643915,0.000643915,0.00128783,0.00128783,0,0.00092637
2001,closeness_centrality,0.00063012,0.00063012,0.001260239,0.001260239,0,0.000910922
2002,closeness_centrality,0.001228501,0.001228501,0.001228501,0.002457002,0,0.001211112
2003,closeness_centrality,0.001199041,0.001199041,0.001348921,0.001348921,0,0.001186468
2004,closeness_centrality,0.001165501,0.001165501,0.001748252,0.001748252,0,0.001337736
2005,closeness_centrality,0.001315789,0.001315789,0.001315789,0.001315789,0,0.00131406
2006,closeness_centrality,0.00130719,0.00130719,0.00130719,0.002614379,0,0.001484667
2007,closeness_centrality,0.000562114,0.000562114,0.001124227,0.001124227,0,0.000763695
2008,closeness_centrality,0.000984252,0.000984252,0.000984252,0.002952756,0,0.001041352
2009,closeness_centrality,0.00097561,0.00097561,0.00097561,0.00195122,0,0.00098702
2010,closeness_centrality,0.000531632,0.001063264,0.001063264,0.003721425,0,0.000841595
2011,closeness_centrality,0.004878049,0.004878049,0.004878049,0.029268293,0,0.005375326
2012,closeness_centrality,0.001018849,0.001018849,0.001528273,0.003056546,0,0.001250963
2013,closeness_centrality,0.000999001,0.001123876,0.001498501,0.003059441,0,0.001234853
2014,closeness_centrality,0.000931099,0.000931099,0.000931099,0.006517691,0,0.001106925
2015,closeness_centrality,0.0005,0.001,0.001,0.0030625,0,0.000858987
2016,closeness_centrality,0.000532481,0.000532481,0.000532481,0.003786534,0,0.000700521
2017,closeness_centrality,0.00098912,0.00098912,0.00148368,0.003641759,0,0.001181841
2018,closeness_centrality,0.000970874,0.000970874,0.000970874,0.003574581,0,0.001001298
2019,closeness_centrality,0.000628931,0.000628931,0.000628931,0.004472397,0,0.000775287
2020,closeness_centrality,0,0,0,0,0,0
2000,communicability_betweenness_centrality,0,0,0,0,0,0
2001,communicability_betweenness_centrality,0,0,0,0,0,0
2002,communicability_betweenness_centrality,0,0,0,0,0,0
2003,communicability_betweenness_centrality,0,0,0,0,0,0
2004,communicability_betweenness_centrality,0,0,0,0,0,0
2005,communicability_betweenness_centrality,0,0,0,0,0,0
2006,communicability_betweenness_centrality,0,0,0,0,0,0
2007,communicability_betweenness_centrality,0,0,0,0,0,0
2008,communicability_betweenness_centrality,0,0,0,0,0,0
2009,communicability_betweenness_centrality,0,0,0,0,0,0
2010,communicability_betweenness_centrality,0,0,0,0,0,0
2011,communicability_betweenness_centrality,0,0,0,0,0,0
2012,communicability_betweenness_centrality,0,0,0,0,0,0
2013,communicability_betweenness_centrality,0,0,0,0,0,0
2014,communicability_betweenness_centrality,0,0,0,0,0,0
2015,communicability_betweenness_centrality,0,0,0,0,0,0
2016,communicability_betweenness_centrality,0,0,0,0,0,0
2017,communicability_betweenness_centrality,0,0,0,0,0,0
2018,communicability_betweenness_centrality,0,0,0,0,0,0
2019,communicability_betweenness_centrality,0,0,0,0,0,0
2020,communicability_betweenness_centrality,0,0,0,0,0,0
2000,eigenvector_centrality,0.000643915,0.000643915,0.00128783,0.547327753,0.000643915,0.001852188
2001,eigenvector_centrality,0.00063012,0.00063012,0.001260239,0.551984877,0.00063012,0.001821316
2002,eigenvector_centrality,0.001228501,0.001228501,0.001228501,0.956388206,0.000614251,0.002412508
2003,eigenvector_centrality,0.001199041,0.001199041,0.001199041,0.871702638,0.00059952,0.002235719
2004,eigenvector_centrality,0.001165501,0.001165501,0.001748252,0.963869464,0.000582751,0.002656148
2005,eigenvector_centrality,0.001315789,0.001315789,0.001315789,1.002631579,0.001315789,0.002631579
2006,eigenvector_centrality,0.00130719,0.00130719,0.00130719,1.002614379,0.00130719,0.00297616
2007,eigenvector_centrality,0.000562114,0.000562114,0.001124227,0.928049466,0.000562114,0.001524022
2008,eigenvector_centrality,0.000984252,0.000984252,0.000984252,0.656496063,0.000984252,0.002088511
2009,eigenvector_centrality,0.00097561,0.00097561,0.00097561,0.650731707,0.00097561,0.001981648
2010,eigenvector_centrality,0.000531632,0.001063264,0.001063264,0.8841042,0.000531632,0.001675686
2011,eigenvector_centrality,0.004878049,0.004878049,0.004878049,0.52195122,0.004878049,0.01089273
2012,eigenvector_centrality,0.001018849,0.001018849,0.001528273,0.89811513,0.000509424,0.00248902
2013,eigenvector_centrality,0.000999001,0.000999001,0.001498501,0.828671329,0.0004995,0.002436904
2014,eigenvector_centrality,0.000931099,0.000931099,0.000931099,0.786778399,0.000931099,0.002217314
2015,eigenvector_centrality,0.0005,0.001,0.001,0.915,0.0005,0.001707146
2016,eigenvector_centrality,0.000532481,0.000532481,0.000532481,0.457933972,0.000532481,0.001403325
2017,eigenvector_centrality,0.00098912,0.00098912,0.00148368,0.822947577,0.00049456,0.002338586
2018,eigenvector_centrality,0.000970874,0.000970874,0.000970874,0.72184466,0.000485437,0.001975665
2019,eigenvector_centrality,0.000628931,0.000628931,0.000628931,0.465408805,0.000628931,0.001557503
2020,eigenvector_centrality,0,0,0,0,0,0
2000,in_degree_centrality,0.000643915,0.000643915,0.00128783,0.00128783,0,0.000926094
2001,in_degree_centrality,0.00063012,0.00063012,0.001260239,0.001260239,0,0.000910658
2002,in_degree_centrality,0.001228501,0.001228501,0.001228501,0.002457002,0,0.001206254
2003,in_degree_centrality,0.001199041,0.001199041,0.001199041,0.001199041,0,0.001117859
2004,in_degree_centrality,0.001165501,0.001165501,0.001748252,0.001748252,0,0.001328074
2005,in_degree_centrality,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789,0.001315789
2006,in_degree_centrality,0.00130719,0.00130719,0.00130719,0.002614379,0.00130719,0.00148808
2007,in_degree_centrality,0.000562114,0.000562114,0.001124227,0.001124227,0,0.000762011
2008,in_degree_centrality,0.000984252,0.000984252,0.000984252,0.002952756,0,0.001044256
2009,in_degree_centrality,0.00097561,0.00097561,0.00097561,0.00195122,0,0.000990824
2010,in_degree_centrality,0.000531632,0.001063264,0.001063264,0.003721425,0,0.000837843
2011,in_degree_centrality,0.004878049,0.004878049,0.004878049,0.029268293,0,0.005446365
