analysisAdminNo,priorityAdminNo,wt,analysisStreamMile,analysisNetAbs,analysisWdid,priorityStreamMile,priorityNetAbs,priorityWdid
48212.47999,20427.18999,60983782.199999996,1.28,653400.0,3603635,147.54,1250.0,5300584
31983.22492,20427.18999,378640944.0,9.27,3053556.0,3703517,147.54,1250.0,5300584
42491.0,20427.18999,1101893760.0,0.02,8886240.0,3803832,147.54,1250.0,5300584
20882.0,20427.18999,65303409.6,7.47,526640.4,5103666,147.54,1250.0,5300584
54786.52869,20427.18999,32408640.0,0.95,261360.0,3703951,147.54,1250.0,5300584
31393.30163,20427.18999,325274716.8,5.34,2623183.2,5003637,147.54,1250.0,5300584
53231.0,20427.18999,24306480.0,0.31,196020.0,5104060,147.54,1250.0,5300584
47558.0,20427.18999,646120252.8000001,4.4,5210647.2,3803761,147.54,1250.0,5300584
50361.0,20427.18999,40510800.0,2.22,326700.0,3703969,147.54,1250.0,5300584
21125.0,20427.18999,6123828585.599999,6.18,49385714.4,5103701,147.54,1250.0,5300584
53325.2791,20427.18999,32408640.0,3.25,261360.0,3703893,147.54,1250.0,5300584
31393.312060000004,20427.18999,3038.0,6.6,24.5,5000601,147.54,1250.0,5300584
21397.0,20427.18999,5128.64,6.16,41.36,5000653,147.54,1250.0,5300584
53325.46264,20427.18999,43913707.199999996,1.23,354142.8,3703931,147.54,1250.0,5300584
31393.29065,20427.18999,1296345600.0,4.92,10454400.0,5003627,147.54,1250.0,5300584
22061.0,20427.18999,3100.0,5.91,25.0,5100810,147.54,1250.0,5300584
51499.39598,20427.18999,16204320.0,22.0,130680.0,5304041,147.54,1250.0,5300584
53325.52807,20427.18999,9290476.799999999,30.22,74923.2,3703894,147.54,1250.0,5300584
31359.0,20427.18999,505774637280.0,2.22,4078827720.0,5103709,147.54,1250.0,5300584
21971.20226,20427.18999,65465452.8,7.82,527947.2,5303964,147.54,1250.0,5300584
48577.4739,20427.18999,1650139920.0,3.97,13307580.0,5003618,147.54,1250.0,5300584
44559.0,20427.18999,1620432.0,2.85,13068.0,5303565,147.54,1250.0,5300584
54786.17657,20427.18999,701647056.0,30.83,5658444.0,3701300,147.54,1250.0,5300584
