analysisAdminNo,priorityAdminNo,wt
22722.205530000003,14046.0,211.167
44559.41057,14046.0,211.167
45290.442989999996,14046.0,211.167
48577.33237,37503.368989999995,198.542
50967.0,37503.368989999995,198.542
48182.0,37503.368989999995,198.542
46751.45902,37503.368989999995,198.542
52960.521689999994,37503.368989999995,198.542
47847.29584,37503.368989999995,198.542
48212.19722,37503.368989999995,198.542
37691.0,37503.368989999995,198.542
55785.0,37503.368989999995,198.542
52230.50677,37503.368989999995,198.542
51864.51651,37503.368989999995,198.542
48212.47999,37503.368989999995,198.542
21498.20315,16664.0,172.355
52960.521689999994,36899.0,165.416
48212.19722,36899.0,165.416
37503.15066,36899.0,165.416
37503.368989999995,36899.0,165.416
37691.0,36899.0,165.416
51864.51651,36899.0,165.416
55785.0,36899.0,165.416
47847.29584,36899.0,165.416
48212.47999,36899.0,165.416
48577.33237,36899.0,165.416
48182.0,36899.0,165.416
52230.50677,36899.0,165.416
46751.45902,36899.0,165.416
50967.0,36899.0,165.416
46020.45581,44925.36159,152.467
44559.41057,44559.30467,144.833
45290.442989999996,44559.30467,144.833
31983.215119999997,20427.18999,124.0
31983.22492,20427.18999,124.0
42491.0,20427.18999,124.0
20882.0,20427.18999,124.0
54786.52869,20427.18999,124.0
31393.30163,20427.18999,124.0
53231.0,20427.18999,124.0
47558.0,20427.18999,124.0
50361.0,20427.18999,124.0
21125.0,20427.18999,124.0
53325.2791,20427.18999,124.0
31393.312060000004,20427.18999,124.0
21397.0,20427.18999,124.0
30894.269060000002,20427.18999,124.0
53325.46264,20427.18999,124.0
31393.29065,20427.18999,124.0
22061.0,20427.18999,124.0
51499.39598,20427.18999,124.0
53325.52807,20427.18999,124.0
31359.0,20427.18999,124.0
21971.20226,20427.18999,124.0
48577.4739,20427.18999,124.0
44559.0,20427.18999,124.0
54786.17657,20427.18999,124.0
21853.0,20427.18999,124.0
37482.0,20427.18999,124.0
53325.520169999996,20427.18999,124.0
31393.23745,20427.18999,124.0
47609.0,20427.18999,124.0
53325.50829,20427.18999,124.0
31393.26176,20427.18999,124.0
54786.39446,20427.18999,124.0
39263.0,20427.18999,124.0
21684.0,20427.18999,124.0
51499.513680000004,20427.18999,124.0
42492.0,20427.18999,124.0
53325.49095,20427.18999,124.0
21561.16618,20427.18999,124.0
54786.526860000005,20427.18999,124.0
44559.37499,20427.18999,124.0
53203.0,20427.18999,124.0
37494.0,20427.18999,124.0
20694.0,20427.18999,124.0
55152.491239999996,20427.18999,124.0
47478.0,20427.18999,124.0
55152.52017,20427.18999,124.0
20676.148830000002,20427.18999,124.0
44559.43736,20427.18999,124.0
55152.53902999999,20427.18999,124.0
48942.35064,20427.18999,124.0
52960.513,20427.18999,124.0
51726.0,20427.18999,124.0
42242.0,20427.18999,124.0
50386.0,20427.18999,124.0
47254.0,20427.18999,124.0
20676.13818,20427.18999,124.0
55152.54421,20427.18999,124.0
44559.44315,20427.18999,124.0
52960.46233,20427.18999,124.0
55152.54633,20427.18999,124.0
32075.22262,20427.18999,124.0
48942.47664,20427.18999,124.0
52960.39598,20427.18999,124.0
40478.0,20427.18999,124.0
20427.202230000003,20427.18999,124.0
41861.0,20427.18999,124.0
44712.0,20427.18999,124.0
52960.30683,20427.18999,124.0
44559.42885,20427.18999,124.0
32075.1894,20427.18999,124.0
20676.17302,20427.18999,124.0
42420.38928,20427.18999,124.0
54786.54692000001,20427.18999,124.0
47504.0,20427.18999,124.0
48832.0,20427.18999,124.0
20676.20258,20427.18999,124.0
32054.0,20427.18999,124.0
44194.432810000006,20427.18999,124.0
51695.0,20427.18999,124.0
20676.19919,20427.18999,124.0
55067.0,20427.18999,124.0
20676.19822,20427.18999,124.0
44559.42035,20427.18999,124.0
55070.0,20427.18999,124.0
52960.52462,20427.18999,124.0
20676.19722,20427.18999,124.0
47481.46538,20427.18999,124.0
39254.22423,20427.18999,124.0
52976.0,20427.18999,124.0
20676.19665,20427.18999,124.0
48942.317760000005,20427.18999,124.0
52960.5296,20427.18999,124.0
32075.18262,20427.18999,124.0
55152.374070000005,20427.18999,124.0
42420.38198,20427.18999,124.0
47481.46173,20427.18999,124.0
54663.0,20427.18999,124.0
53325.52868,20427.18999,124.0
48577.4042,20427.18999,124.0
36730.0,20427.18999,124.0
54056.52839,20427.18999,124.0
38753.37375,20427.18999,124.0
51499.51088,20427.18999,124.0
54056.52852000001,20427.18999,124.0
48212.47915,20427.18999,124.0
43464.0,20427.18999,124.0
53691.50981,20427.18999,124.0
30894.280110000003,20427.18999,124.0
51499.50038,20427.18999,124.0
50282.0,20427.18999,124.0
54056.535789999994,20427.18999,124.0
42672.0,20427.18999,124.0
40176.0,20427.18999,124.0
30894.29013,20427.18999,124.0
54056.53631,20427.18999,124.0
53691.46751,20427.18999,124.0
30894.2934,20427.18999,124.0
48212.317760000005,20427.18999,124.0
54056.539039999996,20427.18999,124.0
30180.19612,20427.18999,124.0
54056.53931,20427.18999,124.0
53691.42367999999,20427.18999,124.0
30894.293910000004,20427.18999,124.0
54056.54056,20427.18999,124.0
54120.0,20427.18999,124.0
43403.0,20427.18999,124.0
30184.29584,20427.18999,124.0
22232.09029,20427.18999,124.0
54056.51316,20427.18999,124.0
53692.0,20427.18999,124.0
36801.0,20427.18999,124.0
30894.17657,20427.18999,124.0
48212.472330000004,20427.18999,124.0
53874.0,20427.18999,124.0
50219.0,20427.18999,124.0
53691.531720000006,20427.18999,124.0
30894.245919999998,20427.18999,124.0
48212.47389,20427.18999,124.0
43098.0,20427.18999,124.0
30870.2208,20427.18999,124.0
53691.52595,20427.18999,124.0
53979.0,20427.18999,124.0
30894.265710000003,20427.18999,124.0
30870.1401,20427.18999,124.0
40028.0,20427.18999,124.0
50038.49798,20427.18999,124.0
42733.0,20427.18999,124.0
30506.143969999997,20427.18999,124.0
53691.5223,20427.18999,124.0
54047.0,20427.18999,124.0
37061.0,20427.18999,124.0
30194.15523,20427.18999,124.0
30894.26783,20427.18999,124.0
48212.47755,20427.18999,124.0
29531.0,20427.18999,124.0
53680.0,20427.18999,124.0
43621.43338,20427.18999,124.0
36718.0,20427.18999,124.0
22964.22029,20427.18999,124.0
36524.0,20427.18999,124.0
54421.3835,20427.18999,124.0
47847.32872,20427.18999,124.0
22834.19832,20427.18999,124.0
54421.464779999995,20427.18999,124.0
37446.0,20427.18999,124.0
54421.494289999995,20427.18999,124.0
22705.0,20427.18999,124.0
44194.346489999996,20427.18999,124.0
54421.51986,20427.18999,124.0
22702.2237,20427.18999,124.0
53325.53142,20427.18999,124.0
47827.0,20427.18999,124.0
22596.119619999998,20427.18999,124.0
51499.51328,20427.18999,124.0
47755.0,20427.18999,124.0
22435.20605,20427.18999,124.0
55175.0,20427.18999,124.0
37465.0,20427.18999,124.0
42519.0,20427.18999,124.0
22232.18808,20427.18999,124.0
39446.0,20427.18999,124.0
47671.0,20427.18999,124.0
54617.0,20427.18999,124.0
53461.0,20427.18999,124.0
54421.22053,20427.18999,124.0
31175.0,20427.18999,124.0
47888.0,20427.18999,124.0
42618.0,20427.18999,124.0
53656.0,20427.18999,124.0
30894.29745,20427.18999,124.0
29437.254589999997,20427.18999,124.0
51499.494139999995,20427.18999,124.0
54250.0,20427.18999,124.0
48339.0,20427.18999,124.0
53624.0,20427.18999,124.0
30894.29746,20427.18999,124.0
42557.0,20427.18999,124.0
37202.0,20427.18999,124.0
53596.0,20427.18999,124.0
42520.0,20427.18999,124.0
54377.0,20427.18999,124.0
43829.22015,20427.18999,124.0
30894.300710000003,20427.18999,124.0
54420.0,20427.18999,124.0
51499.5125,20427.18999,124.0
48485.0,20427.18999,124.0
50313.0,20427.18999,124.0
47884.0,20427.18999,124.0
54421.13971,20427.18999,124.0
50038.49551,20427.18999,124.0
53543.0,20427.18999,124.0
20427.20179,20427.18999,124.0
52960.267660000005,20427.18999,124.0
32075.23878,20427.18999,124.0
45290.3628,20427.18999,124.0
46594.0,20427.18999,124.0
57193.0,20427.18999,124.0
50403.50233,20427.18999,124.0
45290.433410000005,20427.18999,124.0
49490.0,20427.18999,124.0
57249.0,20427.18999,124.0
50769.47664,20427.18999,124.0
46593.0,20427.18999,124.0
57340.0,20427.18999,124.0
38753.30942,20427.18999,124.0
52000.0,20427.18999,124.0
57432.0,20427.18999,124.0
45290.45144,20427.18999,124.0
57513.0,20427.18999,124.0
34648.0,20427.18999,124.0
46538.0,20427.18999,124.0
41199.21147,20427.18999,124.0
34762.131219999996,20427.18999,124.0
51999.0,20427.18999,124.0
46506.0,20427.18999,124.0
38753.37919,20427.18999,124.0
57704.0,20427.18999,124.0
46386.46353,20427.18999,124.0
45410.0,20427.18999,124.0
40912.0,20427.18999,124.0
49796.0,20427.18999,124.0
56991.0,20427.18999,124.0
52033.0,20427.18999,124.0
50403.41089,20427.18999,124.0
56613.55152000001,20427.18999,124.0
46751.38928,20427.18999,124.0
33433.3315,20427.18999,124.0
56613.563460000005,20427.18999,124.0
45290.3635,20427.18999,124.0
56613.564920000004,20427.18999,124.0
52230.0,20427.18999,124.0
33466.0,20427.18999,124.0
41199.313669999996,20427.18999,124.0
56970.0,20427.18999,124.0
45290.36436,20427.18999,124.0
56978.0,20427.18999,124.0
38753.297360000004,20427.18999,124.0
49403.0,20427.18999,124.0
46631.0,20427.18999,124.0
34241.18263,20427.18999,124.0
41199.23559,20427.18999,124.0
45290.36645,20427.18999,124.0
50769.50702,20427.18999,124.0
49451.0,20427.18999,124.0
51864.43372,20427.18999,124.0
46599.0,20427.18999,124.0
56978.56884,20427.18999,124.0
41199.21783,20427.18999,124.0
58074.44346,20427.18999,124.0
38753.35215,20427.18999,124.0
50603.0,20427.18999,124.0
51864.49825,20427.18999,124.0
35016.0,20427.18999,124.0
49673.42368,20427.18999,124.0
58804.491870000005,20427.18999,124.0
51864.43464,20427.18999,124.0
58804.520379999994,20427.18999,124.0
35404.0,20427.18999,124.0
46020.293710000005,20427.18999,124.0
58804.524820000006,20427.18999,124.0
38753.3752,20427.18999,124.0
58804.53441,20427.18999,124.0
35621.0,20427.18999,124.0
58804.57555,20427.18999,124.0
46034.0,20427.18999,124.0
50648.0,20427.18999,124.0
38753.37094,20427.18999,124.0
40922.0,20427.18999,124.0
58997.0,20427.18999,124.0
46020.4479,20427.18999,124.0
35645.0,20427.18999,124.0
59024.0,20427.18999,124.0
40937.0,20427.18999,124.0
50726.0,20427.18999,124.0
35702.0,20427.18999,124.0
35686.0,20427.18999,124.0
58804.445810000005,20427.18999,124.0
41050.0,20427.18999,124.0
58074.534779999994,20427.18999,124.0
41199.1897,20427.18999,124.0
46386.43625,20427.18999,124.0
46386.32963,20427.18999,124.0
34762.14397,20427.18999,124.0
41199.20666,20427.18999,124.0
51959.0,20427.18999,124.0
58074.572210000006,20427.18999,124.0
50769.47116,20427.18999,124.0
34762.330239999996,20427.18999,124.0
34762.33466,20427.18999,124.0
58074.578610000004,20427.18999,124.0
38753.35914,20427.18999,124.0
58074.579470000004,20427.18999,124.0
34762.3464,20427.18999,124.0
38753.37912,20427.18999,124.0
34762.34553,20427.18999,124.0
58215.0,20427.18999,124.0
45776.0,20427.18999,124.0
51864.515739999995,20427.18999,124.0
58311.0,20427.18999,124.0
46097.0,20427.18999,124.0
50769.30316,20427.18999,124.0
58439.578610000004,20427.18999,124.0
45863.0,20427.18999,124.0
38753.36675,20427.18999,124.0
