wdid,streamMile,adminNumber,netAbsolute,lat,long,sum_netAbs
3804051,2.97,61361.608239999994,51575.04,39.20145,-106.893064,182255.04
3804051,2.97,50038.48212,130680.0,39.20145,-106.893064,182255.04
3704096,1.65,60996.60034,87120.0,39.60461,-106.606214,87120.0
3804515,10.79,60996.473710000006,7405.2,39.079640999999995,-106.803044,7405.2
3804517,0.01,60996.45715,36590.4,39.198522,-106.81402299999999,36590.4
3804518,0.01,60996.42635,213879.6,39.197312,-106.815926,213879.6
5104051,281.45,60996.39992999999,1899216.0,40.280673,-105.85704799999999,5057316.0
5104051,281.45,48212.39993,3158100.0,40.280673,-105.85704799999999,5057316.0
5103622,1.62,60841.0,108900.0,39.967016,-105.885547,108900.0
3803514,0.19,60630.59305,10890.0,39.083079,-107.244026,43560.0
3803514,0.19,54405.0,32670.0,39.083079,-107.244026,43560.0
3804301,13.84,60630.58648,49222.8,39.246425,-107.236989,62290.8
3804301,13.84,58073.0,13068.0,39.246425,-107.236989,62290.8
3703944,1.92,60630.578610000004,524898.0,39.625246999999995,-106.888196,3225618.0
3703944,1.92,53874.0,2700720.0,39.625246999999995,-106.888196,3225618.0
3701453,0.6,60630.571639999995,39204.0,39.660602000000004,-106.629774,39204.0
3704094,0.6,60630.571639999995,9147.6,39.660367,-106.62983899999999,9147.6
5003666,57.96,60630.38521,10280160.0,40.402114000000005,-106.62791100000001,10280160.0
7204158,13.98,60438.0,267894.0,39.250065,-107.782974,3419460.0
7204158,13.98,59900.597610000004,3151566.0,39.250065,-107.782974,3419460.0
4502007,24.98,59928.0,14.1,39.27042,-107.45868899999999,14.1
7204161,35.97,59900.465679999994,357192.0,39.074932000000004,-108.609206,357192.0
3803623,3.67,59861.0,10454.4,39.532061999999996,-107.214254,10454.4
5103596,282.28,59685.583470000005,41382.0,40.288821,-105.857349,313632.0
5103596,282.28,57607.0,272250.0,40.288821,-105.857349,313632.0
3804465,2.06,59657.0,65340.0,39.307069,-106.974585,65340.0
3804455,35.5,59466.0,1089.0,39.290001000000004,-106.909976,1089.0
7204156,0.2,59169.59078,283140.0,39.247336,-108.88705700000001,283140.0
3704067,2.52,59024.0,31798.8,39.732944,-106.629254,31798.8
3704068,1.6,59024.0,565408.8,39.735825,-106.63498799999999,565408.8
3704069,1.8,59024.0,57499.2,39.734459,-106.63192099999999,57499.2
3704071,3.16,59024.0,267894.0,39.734045,-106.63569,267894.0
3704072,2.51,59024.0,98010.0,39.731604,-106.63508999999999,98010.0
3704073,3.16,59024.0,270943.2,39.735595,-106.651901,270943.2
3704074,2.52,59024.0,95396.4,39.733909000000004,-106.655276,95396.4
5302031,226.61,58997.0,750.0,40.042566,-106.398131,750.0
5302032,202.87,58997.0,800.0,39.855164,-106.641806,800.0
5302033,182.06,58997.0,900.0,39.874614,-106.89329099999999,900.0
7204153,4.05,58804.58731,70567.2,39.160495000000004,-107.99948700000002,70567.2
5303621,11.42,58804.57555,8712.0,40.036255,-106.699081,8712.0
3804452,1.14,58804.55042000001,68389.2,39.250935999999996,-106.856907,68389.2
5303619,10.92,58804.53441,4356.0,40.016236,-106.644779,4356.0
5303620,15.39,58804.53441,174.24,40.042372,-106.61916299999999,174.24
5303613,27.56,58804.524820000006,609.84,40.036336,-106.991949,609.84
5303615,27.6,58804.524820000006,609.84,40.034744,-106.99179699999999,609.84
5303618,9.49,58804.520379999994,2613.6,40.022406,-106.700448,2613.6
5303616,8.21,58804.491870000005,4356.0,40.015976,-106.739727,4356.0
5303617,8.39,58804.491870000005,2613.6,40.034009000000005,-106.730259,2613.6
5303611,28.9,58804.445810000005,609.84,40.045667,-107.007213,609.84
3804481,2.38,58804.34995,117612.0,39.177310999999996,-106.840162,117612.0
3804482,2.39,58804.34995,76230.0,39.177591,-106.84067900000001,76230.0
7204147,11.38,58591.0,659934.0,39.271702000000005,-107.812945,1228827.6
7204147,11.38,58439.49156,568893.6,39.271702000000005,-107.812945,1228827.6
7204149,10.31,58591.0,1212274.8,39.269422999999996,-107.823674,1913590.8
7204149,10.31,58439.46417000001,701316.0,39.269422999999996,-107.823674,1913590.8
7204150,0.13,58591.0,672566.4,39.270775,-107.82531999999999,909532.8
7204150,0.13,58439.49156,236966.4,39.270775,-107.82531999999999,909532.8
3804421,50.44,58565.0,3049.2,39.150273,-106.78562600000001,3049.2
3804422,50.44,58565.0,12806.64,39.150495,-106.785226,12806.64
5103521,2.23,58560.0,52272.0,40.097999,-105.934959,104544.0
5103521,2.23,54042.0,52272.0,40.097999,-105.934959,104544.0
3809047,11.3,58544.0,148104.0,39.07332,-106.80451299999999,148104.0
3704027,2.28,58439.578610000004,81892.8,39.685522,-106.83827600000001,81892.8
3804066,11.42,58439.576779999996,279655.2,39.071269,-106.801363,348480.0
3804066,11.42,50038.32658,68824.8,39.071269,-106.801363,348480.0
3804450,0.35,58439.57415,13068.0,39.34472,-107.05980500000001,13068.0
4503500,1.82,58439.56856,169884.0,39.489478999999996,-107.597454,1969783.2
4503500,1.82,53691.53386,1799899.2,39.489478999999996,-107.597454,1969783.2
4503501,1.41,58439.56856,189921.6,39.494419,-107.59770800000001,639896.4
4503501,1.41,53691.5302,449974.8,39.494419,-107.59770800000001,639896.4
4503503,1.58,58439.56856,182516.4,39.493563,-107.595699,422096.4
4503503,1.58,53691.527160000005,239580.0,39.493563,-107.595699,422096.4
4503715,1.42,58439.56856,71874.0,39.492252,-107.599478,551034.0
4503715,1.42,53691.527160000005,435600.0,39.492252,-107.599478,551034.0
4503715,1.42,50769.505560000005,43560.0,39.492252,-107.599478,551034.0
4503750,1.42,58439.56856,214750.8,39.493786,-107.600102,214750.8
4503754,1.54,58439.56856,41382.0,39.490274,-107.599775,41382.0
4503755,1.54,58439.56856,214750.8,39.490941,-107.59980700000001,214750.8
4503756,1.42,58439.56856,151153.2,39.491498,-107.599984,151153.2
4503757,1.4,58439.56856,199069.2,39.494246000000004,-107.59997299999999,199069.2
4503758,1.31,58439.56856,329313.6,39.494834999999995,-107.59976100000002,329313.6
4503760,1.38,58439.56856,126759.6,39.494802,-107.59771299999998,126759.6
4503761,1.61,58439.56856,128502.0,39.494946999999996,-107.594003,128502.0
4503762,1.62,58439.56856,89733.6,39.494122,-107.593175,89733.6
3804424,1.63,58439.560020000004,22215.6,39.312653000000005,-106.978407,22215.6
3804425,1.58,58439.560020000004,182952.0,39.312646,-106.979358,182952.0
3804462,2.4,58439.54938,235224.0,39.386328999999996,-107.220398,235224.0
3813500,1.52,58439.45595,120225.6,39.223772,-106.88502,120225.6
3813501,1.53,58439.45595,106722.0,39.224216999999996,-106.886028,106722.0
3813502,1.76,58439.45595,435.6,39.219786,-106.891599,435.6
3813503,1.77,58439.45595,3920.4,39.219544,-106.891224,3920.4
3813504,1.86,58439.45595,3049.2,39.219218,-106.890612,3049.2
3813505,2.19,58439.45595,36590.4,39.217403000000004,-106.900827,36590.4
3813506,2.39,58439.45595,129373.2,39.212596999999995,-106.90388899999999,129373.2
3813507,2.39,58439.45595,306226.8,39.2134,-106.903902,306226.8
3813508,2.2,58439.45595,269636.4,39.215707,-106.89506200000001,269636.4
7204146,11.08,58439.42155,16117.2,39.269089,-107.81448400000001,16117.2
4503749,16.6,58439.31927000001,6098.4,39.310963,-107.561516,6098.4
5303522,193.46,58311.0,28618.92,39.906901,-106.747395,28618.92
