WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Latitude,Longitude,Lines
3804051,2.97,12/31/18,61361.60824,51575.04,39.20145,-106.893064,273
3704096,1.65,12/31/17,60996.60034,87120,39.60461,-106.606214,638
3804515,10.79,12/31/17,60996.47371,7405.2,39.079641,-106.803044,638
3804517,0.01,12/31/17,60996.45715,36590.4,39.198522,-106.814023,638
3804518,0.01,12/31/17,60996.42635,213879.6,39.197312,-106.815926,638
5104051,281.45,12/31/17,60996.39993,1899216,40.280673,-105.857048,638
5103622,1.62,12/31/16,60841,108900,39.967016,-105.885547,1003
3803514,0.19,12/31/16,60630.59305,10890,39.083079,-107.244026,1003
3804301,13.84,12/31/16,60630.58648,49222.8,39.246425,-107.236989,1003
3703944,1.92,12/31/16,60630.57861,524898,39.625247,-106.888196,1003
3701453,0.6,12/31/16,60630.57164,39204,39.660602,-106.629774,1003
3704094,0.6,12/31/16,60630.57164,9147.6,39.660367,-106.629839,1003
5003666,57.96,12/31/16,60630.38521,10280160,40.402114,-106.627911,1003
7204158,13.98,12/31/14,60438,267894,39.250065,-107.782974,1734
4502007,24.98,12/31/14,59928,14.1,39.27042,-107.458689,1734
7204158,13.98,12/31/14,59900.59761,3151566,39.250065,-107.782974,1734
7204161,35.97,12/31/14,59900.46568,357192,39.074932,-108.609206,1734
3803623,3.67,12/31/13,59861,10454.4,39.532062,-107.214254,2099
5103596,282.28,12/31/07,59685.58347,41382,40.288821,-105.857349,4291
3804465,2.06,12/31/13,59657,65340,39.307069,-106.974585,2099
3804455,35.5,12/31/12,59466,1089,39.290001,-106.909976,2464
7204156,0.2,12/31/12,59169.59078,283140,39.247336,-108.887057,2464
3704067,2.52,12/31/11,59024,31798.8,39.732944,-106.629254,2830
3704068,1.6,12/31/11,59024,565408.8,39.735825,-106.634988,2830
3704069,1.8,12/31/11,59024,57499.2,39.734459,-106.631921,2830
3704071,3.16,12/31/11,59024,267894,39.734045,-106.63569,2830
3704072,2.51,12/31/11,59024,98010,39.731604,-106.63509,2830
3704073,3.16,12/31/11,59024,270943.2,39.735595,-106.651901,2830
3704074,2.52,12/31/11,59024,95396.4,39.733909,-106.655276,2830
5302031,226.61,12/31/11,58997,750,40.042566,-106.398131,2830
5302032,202.87,12/31/11,58997,800,39.855164,-106.641806,2830
5302033,182.06,12/31/11,58997,900,39.874614,-106.893291,2830
7204153,4.05,12/31/11,58804.58731,70567.2,39.160495,-107.999487,2830
5303621,11.42,12/31/11,58804.57555,8712,40.036255,-106.699081,2830
3804452,1.14,12/31/11,58804.55042,68389.2,39.250936,-106.856907,2830
5303619,10.92,12/31/11,58804.53441,4356,40.016236,-106.644779,2830
5303620,15.39,12/31/11,58804.53441,174.24,40.042372,-106.619163,2830
5303613,27.56,12/31/11,58804.52482,609.84,40.036336,-106.991949,2830
5303615,27.6,12/31/11,58804.52482,609.84,40.034744,-106.991797,2830
5303618,9.49,12/31/11,58804.52038,2613.6,40.022406,-106.700448,2830
5303616,8.21,12/31/11,58804.49187,4356,40.015976,-106.739727,2830
5303617,8.39,12/31/11,58804.49187,2613.6,40.034009,-106.730259,2830
5303611,28.9,12/31/11,58804.44581,609.84,40.045667,-107.007213,2830
3804481,2.38,12/31/11,58804.34995,117612,39.177311,-106.840162,2830
3804482,2.39,12/31/11,58804.34995,76230,39.177591,-106.840679,2830
7204147,11.38,12/31/10,58591,659934,39.271702,-107.812945,3195
7204149,10.31,12/31/10,58591,1212274.8,39.269423,-107.823674,3195
7204150,0.13,12/31/10,58591,672566.4,39.270775,-107.82532,3195
3804421,50.44,12/31/10,58565,3049.2,39.150273,-106.785626,3195
3804422,50.44,12/31/10,58565,12806.64,39.150495,-106.785226,3195
5103521,2.23,12/31/10,58560,52272,40.097999,-105.934959,3195
3809047,11.3,12/31/10,58544,148104,39.07332,-106.804513,3195
3704027,2.28,12/31/10,58439.57861,81892.8,39.685522,-106.838276,3195
3804066,11.42,12/31/10,58439.57678,279655.2,39.071269,-106.801363,3195
3804450,0.35,12/31/10,58439.57415,13068,39.34472,-107.059805,3195
4503500,1.82,12/31/10,58439.56856,169884,39.489479,-107.597454,3195
4503501,1.41,12/31/10,58439.56856,189921.6,39.494419,-107.597708,3195
4503503,1.58,12/31/10,58439.56856,182516.4,39.493563,-107.595699,3195
4503715,1.42,12/31/10,58439.56856,71874,39.492252,-107.599478,3195
4503750,1.42,12/31/10,58439.56856,214750.8,39.493786,-107.600102,3195
4503754,1.54,12/31/10,58439.56856,41382,39.490274,-107.599775,3195
4503755,1.54,12/31/10,58439.56856,214750.8,39.490941,-107.599807,3195
4503756,1.42,12/31/10,58439.56856,151153.2,39.491498,-107.599984,3195
4503757,1.4,12/31/10,58439.56856,199069.2,39.494246,-107.599973,3195
4503758,1.31,12/31/10,58439.56856,329313.6,39.494835,-107.599761,3195
4503760,1.38,12/31/10,58439.56856,126759.6,39.494802,-107.597713,3195
4503761,1.61,12/31/10,58439.56856,128502,39.494947,-107.594003,3195
4503762,1.62,12/31/10,58439.56856,89733.6,39.494122,-107.593175,3195
3804424,1.63,12/31/10,58439.56002,22215.6,39.312653,-106.978407,3195
3804425,1.58,12/31/10,58439.56002,182952,39.312646,-106.979358,3195
3804462,2.4,12/31/10,58439.54938,235224,39.386329,-107.220398,3195
7204147,11.38,12/31/10,58439.49156,568893.6,39.271702,-107.812945,3195
7204150,0.13,12/31/10,58439.49156,236966.4,39.270775,-107.82532,3195
7204149,10.31,12/31/10,58439.46417,701316,39.269423,-107.823674,3195
3813500,1.52,12/31/10,58439.45595,120225.6,39.223772,-106.88502,3195
3813501,1.53,12/31/10,58439.45595,106722,39.224217,-106.886028,3195
3813502,1.76,12/31/10,58439.45595,435.6,39.219786,-106.891599,3195
3813503,1.77,12/31/10,58439.45595,3920.4,39.219544,-106.891224,3195
3813504,1.86,12/31/10,58439.45595,3049.2,39.219218,-106.890612,3195
3813505,2.19,12/31/10,58439.45595,36590.4,39.217403,-106.900827,3195
3813506,2.39,12/31/10,58439.45595,129373.2,39.212597,-106.903889,3195
3813507,2.39,12/31/10,58439.45595,306226.8,39.2134,-106.903902,3195
