WDID,Stream Mile,Adjudication Date,Priority Admin No,Net Absolute,Decreed Units,Latitude,Longitude,,
7201654,7.05,12/31/99 0:00,54421.52265,5,C,39.244089,-108.812774,,
3703704,35.11,12/31/78 0:00,47086.00000,1.3,A,39.643817,-106.573093,,
3703635,34.58,12/31/78 0:00,47086.00000,9.2,A,39.644915,-106.578267,,
7200985,4.06,12/31/96 0:00,53335.00000,10,C,39.231682,-108.756806,,
3703682,35.54,12/31/78 0:00,47086.00000,1,A,39.646964,-106.565612,,
3804335,6.39,12/31/02 0:00,55694.00000,0.07,A,39.127233,-106.847788,,
3703683,33.98,12/31/78 0:00,47086.00000,0.6,A,39.650453,-106.578756,,
5304059,8.86,12/31/05 0:00,56613.46751,4.1,A,39.773033,-107.161903,,
7203568,3,12/31/72 0:00,42733.00000,0.5,A,39.329282,-107.751323,,
5200500,8.14,3/8/04 0:00,19190.17333,1,C,39.777569,-106.558806,,
5200500,8.14,8/30/46 0:00,30846.00000,4.3,C,39.777569,-106.558806,,
3700563,2.12,10/3/36 0:00,30894.25353,2.266,C,39.601537,-106.615602,,
3700563,2.12,7/23/58 0:00,38753.37771,1.3,C,39.601537,-106.615602,,
4500500,1.52,5/24/05 0:00,20198.16256,1,C,39.436859,-107.630833,,
4500501,0.81,5/24/05 0:00,20198.19138,0.6,C,39.445066,-107.638869,,
5303952,9.33,9/13/67 0:00,41199.18970,22.24,A,40.031088,-106.88017,,
5200508,9.98,1/26/07 0:00,19790.15493,0.16,C,39.867084,-106.477126,,
5200508,9.98,12/31/77 0:00,46386.44712,0.53,C,39.867084,-106.477126,,
5200509,9.9,1/26/07 0:00,19790.15493,0.12,C,39.86664,-106.480225,,
5200510,9.89,1/26/07 0:00,19790.15493,0.08,C,39.867067,-106.479474,,
5200511,10.4,1/26/07 0:00,19790.19144,1,C,39.857865,-106.475903,,
5200511,10.4,12/31/77 0:00,46386.44712,1.61,C,39.857865,-106.475903,,
5200512,10.12,1/26/07 0:00,20691.00000,1.2,C,39.861605,-106.486403,,
5200513,10.11,1/26/07 0:00,20691.00000,2,C,39.864618,-106.482572,,
3801827,50.83,12/31/88 0:00,50403.43234,0.2,C,39.145702,-106.78305,,
7000504,5.52,5/11/1889 12:00:00 AM,13463.00000,1,C,39.448654,-108.401322,,
7000504,5.52,5/11/1889 12:00:00 AM,14015.00000,1,C,39.448654,-108.401322,,
7201828,45,12/31/14 0:00,59900.58819,4.64,C,39.052123,-108.471014,,
3701244,9.37,12/17/1889 12:00:00 AM,12738.00000,1.5,C,39.78638,-106.737636,,
3701244,9.37,6/4/07 0:00,20427.19981,3.2,C,39.78638,-106.737636,,
3900995,1.3,12/31/02 0:00,55785.00000,0.0438,C,39.638456,-107.69768,,
3903595,1.1,12/31/02 0:00,55785.00000,1.65,A,39.638542,-107.698298,,
3903596,1.1,12/31/02 0:00,55785.00000,0.49,A,39.638086,-107.698132,,
3903594,1.1,12/31/02 0:00,55785.00000,0.46,A,39.639068,-107.697661,,
3600501,4.04,3/2/10 0:00,12167.00000,3.5,C,39.917564,-106.42087,,
3600502,4.04,3/2/10 0:00,16329.00000,2,C,39.917362,-106.424142,,
3900889,118.49,12/31/76 0:00,46020.45441,0.5,C,39.551068,-107.640905,,
4500504,10.48,11/11/08 0:00,21497.20351,0.8,C,39.481581,-107.443361,,
4500504,10.48,7/23/41 0:00,33099.22035,0.674,C,39.481581,-107.443361,,
4500504,10.48,7/23/41 0:00,33099.32262,2.29,C,39.481581,-107.443361,,
5000763,8.74,12/31/86 0:00,49673.46932,0.01,C,40.123652,-106.523015,,
5000764,8.74,12/31/86 0:00,49673.46932,0.15,C,40.123549,-106.523009,,
3804140,40.35,12/31/90 0:00,51134.49094,15,A,39.24834,-106.855233,,
7201259,45.19,12/31/70 0:00,43829.22432,1,C,39.049528,-108.46676,,
7200501,2.14,7/25/41 0:00,30895.23588,1.17,C,39.283978,-107.936248,,
3801159,3.28,12/31/80 0:00,47481.35793,0.2,C,39.38646,-107.202213,,
4503604,1.65,12/31/74 0:00,45581.00000,0.2,A,39.50644,-107.764233,,
5100501,9.36,8/11/17 0:00,23817.14366,0.375,C,40.176752,-106.008181,,
5100501,9.36,11/7/52 0:00,34241.27180,2,C,40.176752,-106.008181,,
7201289,36.15,12/31/78 0:00,46751.46662,3,C,39.075471,-108.599332,,
3803966,11.13,12/31/83 0:00,48800.00000,0.7,A,39.205767,-106.983279,,
3803966,11.13,12/31/97 0:00,53691.53447,1.6,A,39.205767,-106.983279,,
3801474,11.24,12/31/83 0:00,48800.00000,1,C,39.206076,-106.98521,,
3804141,20.33,12/31/92 0:00,51925.00000,0.48,A,39.398027,-107.113704,,
3801872,20.33,12/31/92 0:00,52047.00000,0.067,C,39.397712,-107.114141,,
