wdid,structureName,structureType,waterSource,streamMile,division,waterDistrict,subdistrict,county,designatedBasinName,managementDistrictName,latdecdeg,longdecdeg
3600501,ABBETT AND BENNETT DITCH,DITCH,SPRUCE CREEK,4.04,5,36,,SUMMIT,,,39.91757,-106.420881
3600502,ABBETT AND LOSER DITCH,DITCH,SPRUCE CREEK,4.04,5,36,,SUMMIT,,,39.917368,-106.424153
3600503,A B TUBBS DITCH,DITCH,ACORN CREEK,0.79,5,36,,SUMMIT,,,39.767034,-106.136887
3600504,A B TUBBS NO 2 DITCH,DITCH,ACORN CREEK,1.13,5,36,,SUMMIT,,,39.77065,-106.132234
3600505,ADA DITCH,DITCH,FRENCH GULCH,3.98,5,36,,SUMMIT,,,39.484185,-105.980888
3600506,ADMIRAL PIPELINE,PIPELINE,TENMILE CREEK,,5,36,,SUMMIT,,,,
3600507,ALBER DITCH,DITCH,SLATE CREEK,0.55,5,36,,SUMMIT,,,39.782148,-106.170772
3600508,BENSON DITCH (BRUSH CREEK),DITCH,BRUSH CREEK,0.92,5,36,,SUMMIT,,,39.808995,-106.205304
3600509,ATKINS DITCH,DITCH,BLUE RIVER,53.66,5,36,,SUMMIT,,,39.51636,-106.042861
3600510,BAILLIFF NO 1 DITCH,DITCH,MEADOW CREEK,0.66,5,36,,SUMMIT,,,39.593141,-106.084056
3600511,BAILLIFF NO 2 DITCH,DITCH,TENMILE CREEK,2.34,5,36,,SUMMIT,,,39.589949,-106.07467
3600512,BAKER DITCH,DITCH,ILLINOIS CREEK,,5,36,,SUMMIT,,,,
3600513,BEARDSLEY DITCH,DITCH,OTTER CREEK,0.83,5,36,,SUMMIT,,,39.850366,-106.263583
3600514,BEAVER CREEK NO 1 DITCH,DITCH,MARTIN CREEK,0.1,5,36,,SUMMIT,,,39.873543,-106.345183
3600515,BEAVER CREEK NO 2 DITCH,DITCH,ELLIOTT CREEK,1.73,5,36,,SUMMIT,,,39.861345,-106.338664
3600516,BEAVER HEAD DITCH,DITCH,MIDDLE BARTON CREEK,0.45,5,36,,SUMMIT,,,39.51447,-106.058011
3600517,BELL DITCH,DITCH,SPRING CREEK,0.61,5,36,,GRAND,,,39.916815,-106.354489
3600518,BELL NO 1 DITCH,DITCH,SPRING CREEK,0.15,5,36,,GRAND,,,39.91933,-106.348001
3600519,BELL NO 2 DITCH,DITCH,SPRING CREEK,0.1,5,36,,GRAND,,,39.921058,-106.346873
3600520,BELLS BLUE RIVER DITCH,DITCH,BLUE RIVER,12.51,5,36,,SUMMIT,,,39.912833,-106.340593
3600521,BENSON DITCH,DITCH,BOULDER CREEK,0.5,5,36,,SUMMIT,,,39.737878,-106.142329
3600522,BENTON CREEK NO 1 DITCH,DITCH,BEAVER CREEK,2.01,5,36,,GRAND,,,39.965011,-106.398176
3600523,BENTON CREEK NO 2 DITCH,DITCH,BEAVER CREEK,1.11,5,36,,GRAND,,,39.966047,-106.393689
3600524,B-L DITCH,DITCH,MIDDLE BARTON CREEK,0.56,5,36,,SUMMIT,,,39.516298,-106.057773
