wdid,structureName,associatedAkas,ciuCode,structureType,waterSource,gnisId,streamMile,porStart,porEnd,division,waterDistrict,subdistrict,county,latdecdeg,longdecdeg,modified,,,,,,DITCH
3600501,ABBETT AND BENNETT DITCH,,A,DITCH,SPRUCE CREEK,175604,4.04,1975-09-05T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,SUMMIT,39.91757,-106.420881,2010-03-24T08:42:24.0000000,,,,,,PIPELINE
3600502,ABBETT AND LOSER DITCH,,A,DITCH,SPRUCE CREEK,175604,4.04,1975-09-05T00:00:00.0000000,1980-07-16T00:00:00.0000000,5,36,,SUMMIT,39.917368,-106.424153,2014-03-25T11:39:12.0230000,,,,,,PUMP
3600503,A B TUBBS DITCH,,H,DITCH,ACORN CREEK,175965,0.79,1966-05-25T00:00:00.0000000,1977-07-06T00:00:00.0000000,5,36,,SUMMIT,39.767034,-106.136887,2015-03-20T10:22:10.3230000,,,,,,SPRING
3600504,A B TUBBS NO 2 DITCH,,H,DITCH,ACORN CREEK,175965,1.13,1965-06-01T00:00:00.0000000,1977-07-06T00:00:00.0000000,5,36,,SUMMIT,39.77065,-106.132234,2015-03-20T10:22:32.4930000,,,,,,REACH
3600505,ADA DITCH,,H,DITCH,FRENCH GULCH,179681,3.98,1975-09-02T00:00:00.0000000,1989-10-06T00:00:00.0000000,5,36,,SUMMIT,39.484185,-105.980888,2015-03-20T10:23:13.1830000,,,,,,MINE
3600506,ADMIRAL PIPELINE,,H,PIPELINE,TENMILE CREEK,176191,,1975-07-31T00:00:00.0000000,1985-06-13T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-20T10:23:30.3000000,,,,,,POWER PLANT
3600507,ALBER DITCH,,A,DITCH,SLATE CREEK,175941,0.55,1975-09-12T00:00:00.0000000,2020-09-23T00:00:00.0000000,5,36,,SUMMIT,39.782148,-106.170772,1992-09-01T00:00:00.0000000,,,,,,RESERVOIR
3600508,BENSON DITCH (BRUSH CREEK),,A,DITCH,BRUSH CREEK,175640,0.92,2019-05-10T00:00:00.0000000,2020-08-08T00:00:00.0000000,5,36,,SUMMIT,39.808995,-106.205304,2020-05-24T15:48:30.5900000,,,,,,OTHER
3600509,ATKINS DITCH,,H,DITCH,BLUE RIVER,173194,53.66,1975-07-28T00:00:00.0000000,1989-10-24T00:00:00.0000000,5,36,,SUMMIT,39.51636,-106.042861,2016-02-24T10:26:06.4930000,,,,,,WELL
3600510,BAILLIFF NO 1 DITCH,,H,DITCH,MEADOW CREEK,176190,0.66,1975-07-22T00:00:00.0000000,1979-08-28T00:00:00.0000000,5,36,,SUMMIT,39.593141,-106.084056,2015-03-20T10:31:48.2070000,,,,,,MINIMUM FLOW
3600511,BAILLIFF NO 2 DITCH,,H,DITCH,TENMILE CREEK,176191,2.34,1975-07-22T00:00:00.0000000,1985-06-13T00:00:00.0000000,5,36,,SUMMIT,39.589949,-106.07467,2015-03-20T10:33:46.4300000,,,,,,STREAM GAGE
3600512,BAKER DITCH,,H,DITCH,ILLINOIS CREEK,179645,,1975-09-02T00:00:00.0000000,1989-10-06T00:00:00.0000000,5,36,,SUMMIT,,,2015-03-20T10:34:25.1100000,,,,,,RECHARGE AREA
3600513,BEARDSLEY DITCH,,H,DITCH,OTTER CREEK,175615,0.83,1975-09-24T00:00:00.0000000,1978-07-06T00:00:00.0000000,5,36,,SUMMIT,39.850366,-106.263583,1987-05-05T00:00:00.0000000,,,,,,AUGMENTATION/REPLACEMENT PLAN
3600514,BEAVER CREEK NO 1 DITCH,SHADOW CREEK RANCH,A,DITCH,MARTIN CREEK,175616,0.1,1968-06-10T00:00:00.0000000,2019-07-11T00:00:00.0000000,5,36,,SUMMIT,39.873543,-106.345183,1990-07-18T00:00:00.0000000,,,,,,EXCHANGE PLAN
3600515,BEAVER CREEK NO 2 DITCH,,H,DITCH,ELLIOTT CREEK,175623,1.73,1976-05-15T00:00:00.0000000,1976-07-21T00:00:00.0000000,5,36,,SUMMIT,39.861345,-106.338664,1990-07-18T00:00:00.0000000,,,,,,WELL GROUP
3600516,BEAVER HEAD DITCH,,A,DITCH,MIDDLE BARTON CREEK,176207,0.45,1975-09-08T00:00:00.0000000,2018-08-24T00:00:00.0000000,5,36,,SUMMIT,39.51447,-106.058011,1989-11-15T00:00:00.0000000,,,,,,WELL FIELD
