wdid,structureName,streamMile,latitude,longitude,adminNumber,netAbsolute
3600501,ABBETT AND BENNETT DITCH,4.04,39.91757,-106.420881,12167,3.5
3600502,ABBETT AND LOSER DITCH,4.04,39.917368,-106.424153,16329,2
3600507,ALBER DITCH,0.55,39.782148,-106.170772,12950,1
3600507,ALBER DITCH,0.55,39.782148,-106.170772,13301,1.37
3600507,ALBER DITCH,0.55,39.782148,-106.170772,17806,1
3600507,ALBER DITCH,0.55,39.782148,-106.170772,22964.21102,2.13
3600507,ALBER DITCH,0.55,39.782148,-106.170772,30184.23162,5.5
3600508,BENSON DITCH (BRUSH CREEK),0.92,39.808995,-106.205304,11962,0
3600508,BENSON DITCH (BRUSH CREEK),0.92,39.808995,-106.205304,32075.15249,0
3600514,BEAVER CREEK NO 1 DITCH,0.1,39.873543,-106.345183,19879,3
3600516,BEAVER HEAD DITCH,0.45,39.51447,-106.058011,30184.30071,3
3600517,BELL DITCH,0.61,39.916815,-106.354489,14776,0.2
3600517,BELL DITCH,0.61,39.916815,-106.354489,16223,1
3600517,BELL DITCH,0.61,39.916815,-106.354489,32075.16223,3.93
3600519,BELL NO 2 DITCH,0.1,39.921058,-106.346873,14786,0.3
3600520,BELLS BLUE RIVER DITCH,12.51,39.912833,-106.340593,17319,2
3600520,BELLS BLUE RIVER DITCH,12.51,39.912833,-106.340593,32075.17319,0.5
3600521,BENSON DITCH,0.5,39.737878,-106.142329,19905,3.17
3600521,BENSON DITCH,0.5,39.737878,-106.142329,50649,1
3600522,BENTON CREEK NO 1 DITCH,2.01,39.965011,-106.398176,32075.22924,4.25
3600523,BENTON CREEK NO 2 DITCH,1.11,39.966047,-106.393689,32075.20026,2.2
3600526,BLACK CREEK DITCH,1.3,39.840604,-106.255155,14397,3.5
3600526,BLACK CREEK DITCH,1.3,39.840604,-106.255155,32075.14397,3.3
3600529,BLUE DANUBE NO 2 DITCH,50.45,39.552447,-106.0422,29022.25372,6.109
3600530,BLUE RIVER IRRIGATION DITCH,30.94,39.768421,-106.153283,13058,1.55
3600531,MOSER PUMP NO. 1,29.8,39.782737,-106.161498,23660.19502,0.5
3600532,BLUE VALLEY RANCH NORTH SPRUCE CREEK DIVERSION,1.89,39.942524,-106.390625,54421.54391,0.75
3600534,BLUE VALLEY DITCH,0.86,39.730476,-106.115998,23296.20675,2
3600535,BOBO DITCH,43.64,39.629687,-106.0713,36219,6
3600535,BOBO DITCH,43.64,39.629687,-106.0713,36738,1.63
3600536,BOBO STRAIT SPRINGS,,39.647406,-106.074662,32075.19601,3
3600538,BRADDOCK DITCH,52.85,39.52381,-106.048403,14371,0.08
