year,prop,1st_q,median,3rd_q,max,min,mean
2000,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000033,0.0000000,0.0000000
2001,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000032,0.0000000,0.0000000
2002,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000155,0.0000000,0.0000000
2003,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0002622,0.0000000,0.0000002
2004,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000224,0.0000000,0.0000000
2005,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2006,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2007,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000070,0.0000000,0.0000000
2009,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2010,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000160,0.0000000,0.0000000
2011,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2012,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000174,0.0000000,0.0000000
2013,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000489,0.0000000,0.0000000
2014,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2015,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000213,0.0000000,0.0000000
2016,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000020,0.0000000,0.0000000
2017,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000367,0.0000000,0.0000000
2018,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000349,0.0000000,0.0000000
2019,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000008,0.0000000,0.0000000
2020,betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2000,closeness_centrality,0.0006439,0.0006439,0.0000000,0.0012878,0.0000000,0.0009264
2001,closeness_centrality,0.0006301,0.0006301,0.0000000,0.0012602,0.0000000,0.0009109
2002,closeness_centrality,0.0012285,0.0012285,0.0000000,0.0024570,0.0000000,0.0012111
2003,closeness_centrality,0.0011990,0.0011990,0.0000000,0.0013489,0.0000000,0.0011865
2004,closeness_centrality,0.0011655,0.0011655,0.0000000,0.0017483,0.0000000,0.0013377
2005,closeness_centrality,0.0013158,0.0013158,0.0000000,0.0013158,0.0000000,0.0013141
2006,closeness_centrality,0.0013072,0.0013072,0.0000000,0.0026144,0.0000000,0.0014847
2007,closeness_centrality,0.0005621,0.0005621,0.0000000,0.0011242,0.0000000,0.0007637
2009,closeness_centrality,0.0009756,0.0009756,0.0000000,0.0019512,0.0000000,0.0009870
2010,closeness_centrality,0.0005316,0.0010633,0.0000000,0.0037214,0.0000000,0.0008416
2011,closeness_centrality,0.0048780,0.0048780,0.0000000,0.0292683,0.0000000,0.0053753
2012,closeness_centrality,0.0010188,0.0010188,0.0000000,0.0030565,0.0000000,0.0012510
2013,closeness_centrality,0.0009990,0.0011239,0.0000000,0.0030594,0.0000000,0.0012349
2014,closeness_centrality,0.0009311,0.0009311,0.0000000,0.0065177,0.0000000,0.0011069
2015,closeness_centrality,0.0005000,0.0010000,0.0000000,0.0030625,0.0000000,0.0008590
2016,closeness_centrality,0.0005325,0.0005325,0.0000000,0.0037865,0.0000000,0.0007005
2017,closeness_centrality,0.0009891,0.0009891,0.0000000,0.0036418,0.0000000,0.0011818
2018,closeness_centrality,0.0009709,0.0009709,0.0000000,0.0035746,0.0000000,0.0010013
2019,closeness_centrality,0.0006289,0.0006289,0.0000000,0.0044724,0.0000000,0.0007753
2020,closeness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2000,communicability_betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2001,communicability_betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2002,communicability_betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2003,communicability_betweenness_centrality,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
