PageNumber,PageCount,ResultCount,ResultDateTime
1,1,393,2020-10-25
stationNum,abbrev,usgsSiteId,stationName,dataSource,division,waterDistrict,county,state,utmX,utmY,latitude,longitude,locationAccuracy,startDate,endDate,modified,moreInformation,measUnit
510,LADGRACO,09010100,"LADY CREEK NEAR GRAND LAKE, CO.",USGS,5,51,GRAND,CO,428220.5,4479773.7,40.465547,-105.846695,User supplied,1969-06-01,1975-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
511,ONAGRACO,09010600,"ONAHU CREEK NEAR GRAND LAKE, COLO.",USGS,5,51,GRAND,CO,428375.5,4463922.6,40.322772,-105.843073,User supplied,1969-05-01,1969-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
512,COLALACO,09015500,"COLUMBINE CREEK ABV LAKE GRANBY, NR GRAND LAKE, CO",USGS,5,51,GRAND,CO,430171.7,4448773.5,40.186454,-105.820285,User supplied,1950-04-01,1955-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
513,ROAGRACO,09016000,"ROARING FORK ABOVE LAKE GRANBY, CO.",USGS,5,51,GRAND,CO,434610.6,4442559.3,40.130823,-105.767514,User supplied,1951-10-01,1955-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
514,FRAJIMCO,,"FRASER-JIM CREEK DIVERSION AT WINTER PARK, CO",DWB,5,51,GRAND,CO,436315.0,4415099.0,39.886654,-105.757507,User supplied,2011-08-03,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
517,VASWINCO,09025000,"VASQUEZ CREEK AT WINTER PARK, CO",USGS,5,51,GRAND,CO,432889.9,4419202.6,39.920265,-105.785286,User supplied,1934-08-01,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
518,SLOFRACO,09026500,"ST. LOUIS CREEK NEAR FRASER, CO.",USGS,5,51,GRAND,CO,424925.8,4418135.9,39.909987,-105.878345,User supplied,1934-08-01,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
519,LIMUPACO,09034800,"LITTLE MUDDY CREEK NEAR PARSHALL, CO.",USGS,5,51,GRAND,CO,408708.1,4424202.1,39.963046,-106.068921,User supplied,1958-10-01,1965-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
520,DARNLECO,09035800,"DARLING CREEK NEAR LEAL, CO.",USGS,5,51,GRAND,CO,412130.9,4406123.5,39.800552,-106.026417,User supplied,1965-10-01,2011-09-30,2016-06-20,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
521,SOFWINCO,09035830,"SO FK WILLIAMS FK NR PTARMIGAN PASS, CO",USGS,5,51,GRAND,CO,417485.8,4395364.7,39.704162,-105.962523,User supplied,1984-10-01,1986-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
522,KEYLEACO,09036500,"KEYSER CREEK NEAR LEAL, CO.",USGS,5,51,GRAND,CO,413050.8,4417984.3,39.907489,-106.017248,User supplied,1942-10-01,1952-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
523,MUDATKCO,09041500,"MUDDY CREEK AT KREMMLING, CO.",DWR,5,50,GRAND,CO,380762.6,4435382.4,40.060267,-106.398093,,1982-05-01,1995-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
525,BEMCRECO,09044500,"BEMROSE CREEK NEAR HOOSIER PASS, CO.",USGS,5,36,SUMMIT,CO,409700.0,4358791.5,39.373887,-106.048363,User supplied,1953-10-01,1958-06-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
526,BLUNDICO,09046600,"BLUE RIVER NEAR DILLON, CO",USGS,5,36,SUMMIT,CO,409853.4,4380187.6,39.566653,-106.049463,User supplied,1957-10-01,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
527,WESTENCO,09049200,"WEST TENMILE CREEK AT COPPER MOUNTAIN, CO.",USGS,5,36,SUMMIT,CO,399546.1,4373037.9,39.501105,-106.168368,User supplied,1973-10-01,1979-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
528,BLABLACO,09054000,"BLACK CREEK BELOW BLACK LAKE, NEAR DILLON, CO.",USGS,5,36,SUMMIT,CO,391415.0,4406234.8,39.799160,-106.268371,User supplied,1942-07-01,1994-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
529,OTTAGRCO,09055000,"OTTER CREEK ABOVE GREEN MOUNTAIN RESERVOIR, CO.",USGS,5,36,SUMMIT,CO,391546.8,4412184.5,39.852765,-106.267814,User supplied,1944-10-01,1953-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
530,,09060700,"EGERIA CREEK NEAR TOPONAS, CO.",USGS,5,53,ROUTT,CO,340839.8,4434942.2,40.049712,-106.865887,User supplied,1965-10-01,1973-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
531,,09060950,"BIG ALKALI CREEK BELOW CASTLE CR NEAR BURNS, CO.",USGS,5,52,EAGLE,CO,344544.1,4414291.2,39.864435,-106.817553,User supplied,1981-10-01,1986-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
532,,09063500,"TURKEY CREEK AT RED CLIFF, CO.",USGS,5,37,EAGLE,CO,382466.4,4374696.7,39.513884,-106.367265,User supplied,1913-10-01,1956-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
533,,09063900,"MISSOURI CREEK NEAR GOLD PARK, CO.",USGS,5,37,EAGLE,CO,373407.1,4361116.8,39.390272,-106.470041,User supplied,1972-08-01,2020-10-19,2020-10-20,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
534,,09064500,"HOMESTAKE CREEK NEAR RED CLIFF, CO.",USGS,5,37,EAGLE,CO,382350.2,4370196.3,39.473323,-106.367819,User supplied,1910-10-01,2011-09-30,2016-06-20,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
535,BOOMINCO,09066200,"BOOTH CREEK NEAR MINTURN, CO.",USGS,5,37,EAGLE,CO,386482.8,4389561.6,39.648319,-106.323083,User supplied,1964-10-01,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
536,,09066310,"GORE CREEK, LOWER STATION, AT VAIL, COLORADO",USGS,5,37,EAGLE,CO,380368.9,4388852.4,39.641100,-106.394205,User supplied,1988-09-01,1999-09-30,2015-06-17,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
538,LINGRRCO,09073005,"LINCOLN CREEK BELOW GRIZZLY RESERVOIR NR ASPEN, CO",USGS,5,38,PITKIN,CO,360171.6,4326924.2,39.080236,-106.616583,User supplied,1980-10-01,2020-10-24,2020-10-25,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
539,,09073720,"HUNTER CREEK FEEDER CONDUIT NEAR ASPEN, CO",USGS,5,38,PITKIN,CO,355023.7,4341145.3,39.207492,-106.679124,User supplied,1980-06-01,2020-08-24,2020-09-16,http://cdss.state.co.us/onlineTools/Pages/ClimateStation.aspx,cfs
