analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
2000-02-01T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-02T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-03T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-04T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-05T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-06T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-07T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-08T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-09T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-10T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-11T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-12T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-13T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-14T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-15T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-16T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-17T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-18T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-19T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-20T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-21T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-22T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2000-02-23T00:00:00.0000000,3603542,GOOSE PASTURE TARN,11146.00000,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
