,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,locationWdid,locationStructure,priorityWdid,priorityStructure
6177,2000-07-29T00:00:00.0000000,4500969,BLUESTONE VALLEY DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6178,2000-07-30T00:00:00.0000000,4500969,BLUESTONE VALLEY DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6179,2000-07-31T00:00:00.0000000,4500969,BLUESTONE VALLEY DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6241,2000-07-29T00:00:00.0000000,7203918,WEBB NO 3 RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6242,2000-07-30T00:00:00.0000000,7203918,WEBB NO 3 RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6243,2000-07-31T00:00:00.0000000,7203918,WEBB NO 3 RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6269,2000-07-29T00:00:00.0000000,7200646,GRAND VALLEY PROJECT,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6270,2000-07-30T00:00:00.0000000,7200646,GRAND VALLEY PROJECT,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6271,2000-07-31T00:00:00.0000000,7200646,GRAND VALLEY PROJECT,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6333,2000-07-29T00:00:00.0000000,7203888,BULL BASIN NO 1 RES,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6334,2000-07-30T00:00:00.0000000,7203888,BULL BASIN NO 1 RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6335,2000-07-31T00:00:00.0000000,7203888,BULL BASIN NO 1 RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6361,2000-07-29T00:00:00.0000000,7203913,MICHAELSEN NO 1 RES,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6362,2000-07-30T00:00:00.0000000,7203913,MICHAELSEN NO 1 RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6363,2000-07-31T00:00:00.0000000,7203913,MICHAELSEN NO 1 RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6389,2000-07-29T00:00:00.0000000,7203895,LOST LAKE RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6390,2000-07-30T00:00:00.0000000,7203895,LOST LAKE RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6391,2000-07-31T00:00:00.0000000,7203895,LOST LAKE RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6417,2000-07-29T00:00:00.0000000,7203931,T E KITSON RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6418,2000-07-30T00:00:00.0000000,7203931,T E KITSON RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6419,2000-07-31T00:00:00.0000000,7203931,T E KITSON RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6445,2000-07-29T00:00:00.0000000,7203903,BEAVER LAKE RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6446,2000-07-30T00:00:00.0000000,7203903,BEAVER LAKE RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6447,2000-07-31T00:00:00.0000000,7203903,BEAVER LAKE RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6473,2000-07-29T00:00:00.0000000,7203928,FRED DECAMP RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6474,2000-07-30T00:00:00.0000000,7203928,FRED DECAMP RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6475,2000-07-31T00:00:00.0000000,7203928,FRED DECAMP RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6501,2000-07-29T00:00:00.0000000,7203901,STUBB MCKINNEY CLARK RES,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6502,2000-07-30T00:00:00.0000000,7203901,STUBB MCKINNEY CLARK RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6503,2000-07-31T00:00:00.0000000,7203901,STUBB MCKINNEY CLARK RES,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6529,2000-07-29T00:00:00.0000000,7203837,KENDALL RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6530,2000-07-30T00:00:00.0000000,7203837,KENDALL RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6531,2000-07-31T00:00:00.0000000,7203837,KENDALL RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6557,2000-07-29T00:00:00.0000000,3800768,HUNTER CREEK FLUME & PL,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6558,2000-07-30T00:00:00.0000000,3800768,HUNTER CREEK FLUME & PL,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6559,2000-07-31T00:00:00.0000000,3800768,HUNTER CREEK FLUME & PL,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6621,2000-07-29T00:00:00.0000000,3800528,BASIN DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6622,2000-07-30T00:00:00.0000000,3800528,BASIN DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6623,2000-07-31T00:00:00.0000000,3800528,BASIN DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6685,2000-07-29T00:00:00.0000000,3801062,UNION DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6686,2000-07-30T00:00:00.0000000,3801062,UNION DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6687,2000-07-31T00:00:00.0000000,3801062,UNION DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6749,2000-07-29T00:00:00.0000000,3800715,GRACE AND SHEHI DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6750,2000-07-30T00:00:00.0000000,3800715,GRACE AND SHEHI DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6751,2000-07-31T00:00:00.0000000,3800715,GRACE AND SHEHI DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6813,2000-07-29T00:00:00.0000000,3800996,SLOUGH D AND BANNING LAT,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6814,2000-07-30T00:00:00.0000000,3800996,SLOUGH D AND BANNING LAT,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6815,2000-07-31T00:00:00.0000000,3800996,SLOUGH D AND BANNING LAT,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6877,2000-07-29T00:00:00.0000000,3800547,BOWLES AND HOLLAND DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6878,2000-07-30T00:00:00.0000000,3800547,BOWLES AND HOLLAND DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6879,2000-07-31T00:00:00.0000000,3800547,BOWLES AND HOLLAND DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6941,2000-07-29T00:00:00.0000000,3800740,HARRIS & REED DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6942,2000-07-30T00:00:00.0000000,3800740,HARRIS & REED DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
6943,2000-07-31T00:00:00.0000000,3800740,HARRIS & REED DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7005,2000-07-29T00:00:00.0000000,3801012,SNOWMASS DIVIDE DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7006,2000-07-30T00:00:00.0000000,3801012,SNOWMASS DIVIDE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7007,2000-07-31T00:00:00.0000000,3801012,SNOWMASS DIVIDE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7069,2000-07-29T00:00:00.0000000,3800968,ROBINSON DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7070,2000-07-30T00:00:00.0000000,3800968,ROBINSON DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7071,2000-07-31T00:00:00.0000000,3800968,ROBINSON DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7133,2000-07-29T00:00:00.0000000,3800712,GLENWOOD DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7134,2000-07-30T00:00:00.0000000,3800712,GLENWOOD DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7135,2000-07-31T00:00:00.0000000,3800712,GLENWOOD DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7197,2000-07-29T00:00:00.0000000,3803743,SMITH RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7198,2000-07-30T00:00:00.0000000,3803743,SMITH RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7199,2000-07-31T00:00:00.0000000,3803743,SMITH RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7261,2000-07-29T00:00:00.0000000,3800890,MCKENZIE WILDCAT DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7262,2000-07-30T00:00:00.0000000,3800890,MCKENZIE WILDCAT DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7263,2000-07-31T00:00:00.0000000,3800890,MCKENZIE WILDCAT DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7325,2000-07-29T00:00:00.0000000,3800757,HOME SUPPLY DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7326,2000-07-30T00:00:00.0000000,3800757,HOME SUPPLY DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7327,2000-07-31T00:00:00.0000000,3800757,HOME SUPPLY DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7389,2000-07-29T00:00:00.0000000,3801078,WALKER WONDER DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7390,2000-07-30T00:00:00.0000000,3801078,WALKER WONDER DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7391,2000-07-31T00:00:00.0000000,3801078,WALKER WONDER DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7453,2000-07-29T00:00:00.0000000,3800920,OXFORD NO 1 DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7454,2000-07-30T00:00:00.0000000,3800920,OXFORD NO 1 DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7455,2000-07-31T00:00:00.0000000,3800920,OXFORD NO 1 DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7517,2000-07-29T00:00:00.0000000,3800970,ROCKFORD DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7518,2000-07-30T00:00:00.0000000,3800970,ROCKFORD DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7519,2000-07-31T00:00:00.0000000,3800970,ROCKFORD DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7581,2000-07-29T00:00:00.0000000,3800606,COLLINS CREEK DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7582,2000-07-30T00:00:00.0000000,3800606,COLLINS CREEK DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7583,2000-07-31T00:00:00.0000000,3800606,COLLINS CREEK DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7645,2000-07-29T00:00:00.0000000,3801073,WACO DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7646,2000-07-30T00:00:00.0000000,3801073,WACO DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7647,2000-07-31T00:00:00.0000000,3801073,WACO DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7709,2000-07-29T00:00:00.0000000,3803729,HUGHES RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7710,2000-07-30T00:00:00.0000000,3803729,HUGHES RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7711,2000-07-31T00:00:00.0000000,3803729,HUGHES RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7773,2000-07-29T00:00:00.0000000,3800574,CARBONDALE DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7774,2000-07-30T00:00:00.0000000,3800574,CARBONDALE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7775,2000-07-31T00:00:00.0000000,3800574,CARBONDALE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7837,2000-07-29T00:00:00.0000000,3801038,SWEET JESSUP CANAL,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7838,2000-07-30T00:00:00.0000000,3801038,SWEET JESSUP CANAL,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7839,2000-07-31T00:00:00.0000000,3801038,SWEET JESSUP CANAL,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7901,2000-07-29T00:00:00.0000000,3800840,LOWLINE DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7902,2000-07-30T00:00:00.0000000,3800840,LOWLINE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7903,2000-07-31T00:00:00.0000000,3800840,LOWLINE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7965,2000-07-29T00:00:00.0000000,3803745,ST JOHN RESERVOIR,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7966,2000-07-30T00:00:00.0000000,3803745,ST JOHN RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
7967,2000-07-31T00:00:00.0000000,3803745,ST JOHN RESERVOIR,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
8029,2000-07-29T00:00:00.0000000,3800924,PARADISE DITCH,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
8030,2000-07-30T00:00:00.0000000,3800924,PARADISE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
8031,2000-07-31T00:00:00.0000000,3800924,PARADISE DITCH,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
8093,2000-07-29T00:00:00.0000000,3801766,IND P TM DVR N YORK HGT3,25,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
8094,2000-07-30T00:00:00.0000000,3801766,IND P TM DVR N YORK HGT3,100,7200645,GRAND VALLEY CANAL,7200645,GRAND VALLEY CANAL
