,analysisDate,analysisWdid,analysisStructureName,analysisOutOfPriorityPercentOfDay,priorityWdid,priorityStructure
1452,2011-04-15T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500514,BATTLEMENT DITCH
1453,2011-04-16T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1454,2011-04-17T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1455,2011-04-18T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1456,2011-04-19T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1457,2011-04-20T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1458,2011-04-21T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1459,2011-04-22T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1460,2011-04-23T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1461,2011-04-24T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1462,2011-04-25T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1463,2011-04-26T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1464,2011-04-27T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1465,2011-04-28T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1466,2011-04-29T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1467,2011-04-30T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1468,2011-05-01T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1469,2011-05-02T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1470,2011-05-03T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1471,2011-05-04T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1472,2011-05-05T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1473,2011-05-06T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1474,2011-05-07T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,100.0,4500514,BATTLEMENT DITCH
1475,2011-05-08T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,33.3,4500514,BATTLEMENT DITCH
1476,2011-05-08T00:00:00.0000000,4503576,BATTLEMENT NO 5 RES,66.7,4500570,DOBEY DITCH
