analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,5300584,273.251,135.875
3600645,5300584,3603543,273.251,125.605
3600645,5300584,5103709,273.251,11.771
3600649,5300584,5300584,546.502,271.75
3600649,5300584,3603543,546.502,251.21
3600649,5300584,5103709,546.502,23.542
3600660,5300584,5300584,135.875,135.875
3600671,5300584,5300584,564.107,271.75
3600671,5300584,3603543,564.107,251.21
3600671,5300584,5103709,564.107,23.542
3600671,5300584,3604684,564.107,17.605
3600687,5300584,5300584,273.251,135.875
3600687,5300584,3603543,273.251,125.605
3600687,5300584,5103709,273.251,11.771
3600709,5300584,5300584,702.857,407.625
3600709,5300584,3603543,702.857,251.21
3600709,5300584,3704516,702.857,2.875
3600709,5300584,5103709,702.857,23.542
3600709,5300584,3604684,702.857,17.605
3600734,5300584,5300584,273.251,135.875
3600734,5300584,3603543,273.251,125.605
3600734,5300584,5103709,273.251,11.771
3600775,5300584,5300584,293.731,135.875
3600775,5300584,3603543,293.731,125.605
3600775,5300584,3704516,293.731,2.875
3600775,5300584,5103709,293.731,11.771
3600775,5300584,3604684,293.731,17.605
3600776,5300584,5300584,293.731,135.875
3600776,5300584,3603543,293.731,125.605
3600776,5300584,3704516,293.731,2.875
3600776,5300584,5103709,293.731,11.771
3600776,5300584,3604684,293.731,17.605
3600780,5300584,5300584,290.856,135.875
3600780,5300584,3603543,290.856,125.605
3600780,5300584,5103709,290.856,11.771
3600780,5300584,3604684,290.856,17.605
3600796,5300584,5300584,273.251,135.875
3600796,5300584,3603543,273.251,125.605
3600796,5300584,5103709,273.251,11.771
3600803,5300584,5300584,273.251,135.875
3600803,5300584,3603543,273.251,125.605
3600803,5300584,5103709,273.251,11.771
3600830,5300584,5300584,261.48,135.875
3600830,5300584,3603543,261.48,125.605
3600912,5300584,5300584,135.875,135.875
3600985,5300584,5300584,293.731,135.875
3600985,5300584,3603543,293.731,125.605
3600985,5300584,3704516,293.731,2.875
3600985,5300584,5103709,293.731,11.771
3600985,5300584,3604684,293.731,17.605
3601044,5300584,5300584,293.731,135.875
3601044,5300584,3603543,293.731,125.605
3601044,5300584,3704516,293.731,2.875
3601044,5300584,5103709,293.731,11.771
3601044,5300584,3604684,293.731,17.605
3601051,5300584,5300584,135.875,135.875
3601052,5300584,5300584,135.875,135.875
3601058,5300584,5300584,273.251,135.875
3601058,5300584,3603543,273.251,125.605
