analysisDate,analysisWdid,analysisStructureName,analysisWrAdminNo,analysisOutOfPriorityPercentOfDay,division,callType,dateTimeSet,dateTimeReleased,waterSourceName,locationWdid,locationStructure,locationWdidStreamMile,priorityWdid,priorityStructure,priorityAdminNo,priorityOrderNo,priorityDate,priorityNo,boundingWdid,boundingStructureName,setComments,releaseComment
1999-12-31T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-01T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-02T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-03T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-04T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-05T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-06T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-07T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-08T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-09T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-10T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-11T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-12T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-13T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-14T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-15T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-16T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-17T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-18T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-19T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-20T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-21T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-22T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-23T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
2000-01-24T00:00:00.0000000,5103534,LEGACY PARK RESERVOIR,54716.00000,0.0,,,,,,,,,,,,,,,,,,
