analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,1108.981
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,942.356
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,881.193
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,881.193
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,881.193
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,881.193
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,857.838
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,702.857
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,682.377
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,587.462
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,587.462
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,587.462
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,587.462
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,587.462
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,587.462
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,587.462
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,587.462
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,587.462
