analysisWdid,analysisStructure,priorityWdid,priorityStructure,sumWtdCount,analysisStreamMile,analysisNetAbs,analysisWaterDistrict,priorityStreamMile,priorityNetAbs,priorityWaterDistrict
5003646,MARTIN RESERVOIR,5104655,MOFFAT WATER TUNNEL,6.0,0.0,216.15,50,25.36,928.0,51
3703536,MIN LAKE BENCH LAKE NO 1,5300584,SHOSHONE POWER PLANT,133.0,0.0,9.0,37,147.54,1408.0,53
5003653,COLBURN RESERVOIR NO 2,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,23.0,50,0.85,550.0,51
5103526,CORRAL CREEK WETLAND NO1,5104634,CBT ALVA B ADAMS TUNNEL,5.0,0.0,26.8,51,0.85,550.0,51
5003653,COLBURN RESERVOIR NO 2,5000734,DEBERARD DITCH OVERFLOW SYSTEM,16.0,0.0,23.0,50,3.21,96.4,50
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,266.0,0.0,216.15,50,147.54,1408.0,53
5003653,COLBURN RESERVOIR NO 2,5300584,SHOSHONE POWER PLANT,133.0,0.0,23.0,50,147.54,1408.0,53
3900672,THOMPKINS DITCH,3900656,RYDEN NO 1 DITCH,15.0,0.0,21.0,39,2.69,5.5,39
3803593,BAILEY POND NO 2,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,1.0,38,61.8,2313.7,72
3803553,ASPEN VALLEY RANCH POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,5.0,38,61.8,2313.7,72
3803635,MARTIN POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,0.1,38,61.8,2313.7,72
3903942,MOORES IRRIGATION POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,0.125,39,61.8,2313.7,72
3703786,GRAHAM POND NO 2,5104655,MOFFAT WATER TUNNEL,3.0,0.0,0.13,37,25.36,928.0,51
3803594,BAILEY POND NO 3,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,1.0,38,61.8,2313.7,72
3703786,GRAHAM POND NO 2,5300584,SHOSHONE POWER PLANT,133.0,0.0,0.13,37,147.54,1408.0,53
3803592,BAILEY POND NO 1,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,0.55,38,61.8,2313.7,72
3903998,HILMES POND,7200646,GRAND VALLEY PROJECT,5.667000000000002,0.0,1.0,39,61.8,2313.7,72
5103526,CORRAL CREEK WETLAND NO1,5104655,MOFFAT WATER TUNNEL,3.0,0.0,26.8,51,25.36,928.0,51
